station,utc_valid,MMIRGZ,MTIRGZ,PCIRGZ,PPHRGZ,RWIRGZ,TAIRGN,TAIRGX,TAIRGZ,UDIRGZ,UPHRGZ,URHRGZ,USIRGZ,XRIRGZ
GALN2,2021-01-01 00:50:00,12.0,26.0,3.64,0.0,24.0,,,29.0,298.0,8.0,16.0,2.0,79.0
GALN2,2021-01-01 01:50:00,13.0,23.0,3.64,0.0,1.0,,,27.0,306.0,5.0,290.0,2.0,81.0
GALN2,2021-01-01 02:50:00,14.0,22.0,3.64,0.0,0.0,,,25.0,328.0,4.0,321.0,2.0,80.0
GALN2,2021-01-01 03:50:00,14.0,22.0,3.64,0.0,0.0,,,26.0,288.0,6.0,317.0,4.0,80.0
GALN2,2021-01-01 04:50:00,15.0,21.0,3.64,0.0,0.0,,,26.0,239.0,7.0,289.0,4.0,76.0
GALN2,2021-01-01 05:50:00,16.0,20.0,3.64,0.0,0.0,,,26.0,256.0,7.0,270.0,4.0,77.0
GALN2,2021-01-01 06:50:00,17.0,20.0,3.64,0.0,0.0,,,26.0,239.0,8.0,233.0,5.0,79.0
GALN2,2021-01-01 07:50:00,17.0,23.0,3.64,0.0,0.0,,,28.0,233.0,9.0,233.0,5.0,75.0
GALN2,2021-01-01 08:50:00,17.0,19.0,3.64,0.0,0.0,,,24.0,235.0,8.0,204.0,2.0,79.0
GALN2,2021-01-01 09:50:00,18.0,19.0,3.64,0.0,0.0,,,25.0,243.0,9.0,186.0,3.0,75.0
GALN2,2021-01-01 10:50:00,18.0,15.0,3.64,0.0,0.0,,,22.0,218.0,6.0,250.0,2.0,81.0
GALN2,2021-01-01 11:50:00,19.0,17.0,3.64,0.0,0.0,,,21.0,317.0,5.0,205.0,1.0,78.0
GALN2,2021-01-01 12:00:00,,,,,,21.0,41.0,,,,,,
GALN2,2021-01-01 12:50:00,19.0,16.0,3.64,0.0,0.0,,,20.0,257.0,5.0,263.0,4.0,84.0
GALN2,2021-01-01 13:50:00,19.0,14.0,3.64,0.0,0.0,,,21.0,238.0,5.0,241.0,2.0,79.0
GALN2,2021-01-01 14:50:00,19.0,18.0,3.64,0.0,0.0,,,23.0,206.0,8.0,183.0,4.0,81.0
GALN2,2021-01-01 15:50:00,20.0,22.0,3.64,0.0,13.0,,,26.0,196.0,12.0,188.0,7.0,81.0
GALN2,2021-01-01 16:50:00,21.0,29.0,3.64,0.0,152.0,,,28.0,178.0,15.0,187.0,7.0,78.0
GALN2,2021-01-01 17:50:00,19.0,38.0,3.64,0.0,296.0,,,32.0,158.0,17.0,158.0,8.0,71.0
GALN2,2021-01-01 18:50:00,17.0,45.0,3.64,0.0,418.0,,,36.0,138.0,11.0,143.0,6.0,65.0
GALN2,2021-01-01 19:50:00,14.0,44.0,3.64,0.0,451.0,,,39.0,151.0,10.0,145.0,6.0,60.0
GALN2,2021-01-01 20:50:00,13.0,41.0,3.64,0.0,272.0,,,38.0,172.0,9.0,167.0,5.0,58.0
GALN2,2021-01-01 21:50:00,12.0,39.0,3.64,0.0,192.0,,,38.0,165.0,8.0,158.0,4.0,61.0
GALN2,2021-01-01 22:50:00,12.0,42.0,3.64,0.0,213.0,,,41.0,138.0,9.0,140.0,4.0,57.0
GALN2,2021-01-01 23:50:00,12.0,37.0,3.64,0.0,148.0,,,37.0,167.0,8.0,163.0,5.0,64.0
GALN2,2021-01-02 00:50:00,12.0,31.0,3.64,0.0,40.0,,,33.0,140.0,9.0,177.0,2.0,69.0
GALN2,2021-01-02 01:50:00,12.0,28.0,3.64,0.0,1.0,,,31.0,271.0,9.0,39.0,2.0,73.0
GALN2,2021-01-02 02:50:00,13.0,28.0,3.64,0.0,0.0,,,33.0,289.0,7.0,4.0,2.0,64.0
GALN2,2021-01-02 03:50:00,13.0,31.0,3.64,0.0,0.0,,,36.0,166.0,13.0,179.0,3.0,54.0
GALN2,2021-01-02 04:50:00,13.0,32.0,3.64,0.0,0.0,,,36.0,109.0,16.0,126.0,4.0,53.0
GALN2,2021-01-02 05:50:00,12.0,36.0,3.64,0.0,0.0,,,39.0,59.0,30.0,99.0,7.0,46.0
GALN2,2021-01-02 06:50:00,12.0,34.0,3.64,0.0,0.0,,,37.0,30.0,13.0,10.0,6.0,49.0
GALN2,2021-01-02 07:50:00,12.0,34.0,3.64,0.0,0.0,,,36.0,352.0,18.0,344.0,8.0,53.0
GALN2,2021-01-02 08:50:00,12.0,32.0,3.64,0.0,0.0,,,34.0,33.0,10.0,43.0,4.0,55.0
GALN2,2021-01-02 09:50:00,12.0,35.0,3.64,0.0,0.0,,,35.0,341.0,14.0,349.0,5.0,55.0
GALN2,2021-01-02 10:50:00,12.0,32.0,3.64,0.0,0.0,,,33.0,214.0,7.0,266.0,2.0,63.0
GALN2,2021-01-02 11:50:00,12.0,29.0,3.64,0.0,0.0,,,33.0,165.0,11.0,156.0,3.0,67.0
GALN2,2021-01-02 12:00:00,,,,,,20.0,41.0,,,,,,
GALN2,2021-01-02 12:50:00,12.0,31.0,3.64,0.0,0.0,,,33.0,355.0,13.0,14.0,8.0,65.0
GALN2,2021-01-02 13:50:00,13.0,29.0,3.64,0.0,0.0,,,32.0,352.0,16.0,355.0,4.0,67.0
GALN2,2021-01-02 14:50:00,13.0,26.0,3.64,0.0,0.0,,,29.0,334.0,7.0,339.0,6.0,77.0
GALN2,2021-01-02 15:50:00,14.0,28.0,3.64,0.0,19.0,,,32.0,359.0,10.0,5.0,4.0,78.0
GALN2,2021-01-02 16:50:00,15.0,38.0,3.64,0.0,137.0,,,38.0,16.0,10.0,12.0,4.0,64.0
GALN2,2021-01-02 17:50:00,14.0,43.0,3.64,0.0,214.0,,,40.0,3.0,11.0,29.0,7.0,61.0
GALN2,2021-01-02 18:50:00,13.0,48.0,3.64,0.0,396.0,,,43.0,30.0,12.0,36.0,8.0,54.0
GALN2,2021-01-02 19:50:00,12.0,43.0,3.64,0.0,261.0,,,42.0,22.0,13.0,24.0,6.0,57.0
GALN2,2021-01-02 20:50:00,12.0,42.0,3.64,0.0,150.0,,,42.0,82.0,10.0,27.0,1.0,58.0
GALN2,2021-01-02 21:50:00,12.0,53.0,3.64,0.0,318.0,,,46.0,77.0,11.0,147.0,4.0,53.0
GALN2,2021-01-02 22:50:00,11.0,52.0,3.64,0.0,396.0,,,52.0,175.0,24.0,158.0,12.0,50.0
GALN2,2021-01-02 23:50:00,11.0,44.0,3.64,0.0,155.0,,,44.0,181.0,24.0,167.0,12.0,59.0
