	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
// End script hiding -->
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,Deg C,Deg C,  %  ,  %  , W/m2
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, 24 hr , 24 hr , 24 hr , 24 hr , Solar 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,Mx Air ,Mn Air ,Mx Rel ,Mn Rel ,  Rad. 
2001010000,408.7,1.788,67,6.111,3.889,55,12.9,9.5,74,2.682,-9999,-9999,-9999,-9999,0
2001010100,408.7,0.8941,280,8.333,6.111,38,12.9,10.2,278,4.917,-9999,-9999,-9999,-9999,0
2001010200,408.7,1.341,66,5.556,3.333,54,12.9,10.2,215,3.129,-9999,-9999,-9999,-9999,0
2001010300,408.7,0.447,23,6.667,4.444,47,12.9,10.4,81,3.129,-9999,-9999,-9999,-9999,0
2001010400,408.7,0.8941,70,6.667,4.444,42,12.9,10.5,80,1.788,-9999,-9999,-9999,-9999,0
2001010500,408.7,0,104,8.889,6.667,27,12.9,10.6,80,1.788,-9999,-9999,-9999,-9999,0
2001010600,408.7,0.8941,269,8.889,6.667,30,12.9,10.4,294,2.235,-9999,-9999,-9999,-9999,0
2001010700,408.7,0.447,23,7.778,6.667,39,12.9,10.2,260,3.129,-9999,-9999,-9999,-9999,0
2001010800,408.7,1.341,69,6.111,4.444,46,12.9,10.2,83,2.682,-9999,-9999,-9999,-9999,0
2001010900,408.7,0.447,59,7.778,6.667,39,12.9,10.4,78,2.235,-9999,-9999,-9999,-9999,35
2001011000,408.7,2.682,267,8.333,7.222,65,12.9,10.2,261,4.47,-9999,-9999,-9999,-9999,50
2001011100,408.9,0.447,183,8.333,8.889,64,13.4,11.3,262,4.917,-9999,-9999,-9999,-9999,156
2001011200,408.9,0.8941,84,8.333,8.333,72,13.3,13,84,2.235,-9999,-9999,-9999,-9999,164
2001011300,408.9,0,151,9.444,10.56,71,13.3,13.8,47,1.788,-9999,-9999,-9999,-9999,144
2001011400,408.9,2.235,279,8.889,9.444,76,13.4,13.7,262,5.364,-9999,-9999,-9999,-9999,122
2001011500,408.9,1.788,267,9.444,9.444,72,13.4,13.4,268,5.364,-9999,-9999,-9999,-9999,148
2001011600,408.9,1.788,257,8.889,8.333,73,13.4,13.2,279,5.812,-9999,-9999,-9999,-9999,98
2001011700,408.9,0.447,246,7.222,5.556,81,13.2,13.5,276,4.47,10,8.333,78,68,35
2001011800,408.9,0,180,5,2.778,90,13,14.7,275,1.341,-9999,-9999,-9999,-9999,2
2001011900,408.9,0,15,4.444,2.222,91,13,16.2,240,1.341,-9999,-9999,-9999,-9999,0
2001012000,408.9,0,31,4.444,1.667,92,12.9,17.2,48,1.341,-9999,-9999,-9999,-9999,0
2001012100,408.9,0.8941,52,4.444,1.667,91,12.9,18.3,79,1.788,-9999,-9999,-9999,-9999,0
2001012200,408.9,0.447,60,3.889,1.667,94,12.9,18.7,83,1.788,-9999,-9999,-9999,-9999,0
2001012300,408.9,0,47,3.889,1.111,95,12.8,19.1,100,1.788,-9999,-9999,-9999,-9999,0
2001020000,408.9,0,7,3.333,1.111,96,12.8,20.2,78,0.447,-9999,-9999,-9999,-9999,0
