<!DOCTYPE html
	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
<html lang="en-US"><head><title>Station Data Listing - Hell Hole         California</title>
<script type="text/javascript">
<!-- Hide script
// End script hiding -->
</script>
</head>
<body>
<BODY BGCOLOR="FFFFFF">
<LEFT>
<H1> Hell Hole         California </H1>
<PRE>
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,Deg C,Deg C,  %  ,  %  , W/m2
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, 12 hr , 12 hr , 12 hr , 12 hr , Solar 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,Mx Air ,Mn Air ,Mx Rel ,Mn Rel ,  Rad. 
2001010000,62.48,4.47,143,6.667,4.444,33,13,9.3,141,6.706,-9999,-9999,-9999,-9999,0
2001010100,62.48,2.235,156,6.111,4.444,34,12.9,9.5,139,4.47,-9999,-9999,-9999,-9999,0
2001010200,62.48,1.341,157,6.667,2.778,28,12.9,9.3,138,3.129,-9999,-9999,-9999,-9999,0
2001010300,62.48,0.8941,176,6.111,3.889,30,12.9,9.3,29,2.235,-9999,-9999,-9999,-9999,0
2001010400,62.48,1.788,139,6.111,3.889,30,12.9,9.5,144,4.023,-9999,-9999,-9999,-9999,0
2001010500,62.48,0.8941,144,6.111,3.889,31,12.8,9.2,237,3.129,-9999,-9999,-9999,-9999,0
2001010600,62.48,0.8941,351,6.111,3.889,33,12.8,9.5,14,2.682,-9999,-9999,-9999,-9999,0
2001010700,62.48,0.8941,13,6.111,3.889,35,12.8,9.4,274,2.682,-9999,-9999,-9999,-9999,0
2001010800,62.48,0.8941,167,5.556,4.444,39,12.9,9.6,29,2.682,-9999,-9999,-9999,-9999,8
2001010900,62.48,1.788,230,6.667,6.667,36,12.9,10.1,261,3.129,-9999,-9999,-9999,-9999,49
2001011000,62.48,3.129,321,5.556,5,85,13.1,10.3,314,5.364,-9999,-9999,-9999,-9999,76
2001011100,62.48,1.341,327,5.556,5.556,94,13.1,11.3,296,4.47,-9999,-9999,-9999,-9999,96
2001011200,62.48,1.788,327,6.111,6.111,94,13.2,14.2,307,5.364,-9999,-9999,-9999,-9999,99
2001011300,62.48,2.235,344,5.556,6.111,97,13.2,17.2,2,6.259,-9999,-9999,-9999,-9999,97
2001011400,62.48,2.235,317,6.111,6.111,94,13.3,20.1,17,7.6,-9999,-9999,-9999,-9999,92
2001011500,62.48,2.235,338,6.667,6.667,84,13.9,20.5,8,7.6,-9999,-9999,-9999,-9999,164
2001011600,62.48,2.682,359,5,3.889,86,13.4,22.5,329,5.364,-9999,-9999,-9999,-9999,155
2001011700,62.48,2.235,18,3.333,1.111,97,13.2,23.4,4,4.023,-9999,-9999,-9999,-9999,10
2001011800,62.48,1.341,24,2.778,1.667,97,13.1,24.3,51,4.023,-9999,-9999,-9999,-9999,0
2001011900,62.48,1.788,49,2.222,0,98,13,23.6,47,2.682,-9999,-9999,-9999,-9999,0
2001012000,62.48,2.235,54,2.222,0.5556,95,13,24.3,152,4.023,-9999,-9999,-9999,-9999,0
2001012100,62.48,2.682,149,2.222,0,94,12.9,25,143,4.47,-9999,-9999,-9999,-9999,0
2001012200,62.48,2.235,140,1.667,-0.5555,92,12.9,25.1,116,4.917,-9999,-9999,-9999,-9999,0
2001012300,62.48,1.788,107,1.667,-1.11,88,12.8,25.2,138,4.47,-9999,-9999,-9999,-9999,0
2001020000,62.48,2.682,97,1.667,-1.11,81,12.8,25.2,142,6.259,-9999,-9999,-9999,-9999,0
2001020100,62.48,2.682,130,0.5556,-2.221,78,12.8,25,144,5.364,-9999,-9999,-9999,-9999,0
2001020200,62.48,0.8941,139,0.5556,-2.777,72,12.8,24.8,152,6.259,-9999,-9999,-9999,-9999,0
2001020300,62.48,1.341,140,1.111,-3.332,64,12.7,25,100,3.576,-9999,-9999,-9999,-9999,0
2001020400,62.48,0.8941,82,1.667,-1.666,53,12.8,24.2,122,4.917,-9999,-9999,-9999,-9999,0
2001020500,62.48,3.129,123,2.778,-1.11,43,12.8,25.2,137,5.812,-9999,-9999,-9999,-9999,0
2001020600,62.48,2.682,132,3.333,-1.11,40,12.8,24.8,135,4.47,-9999,-9999,-9999,-9999,0
2001020700,62.48,5.812,153,4.444,1.111,33,12.8,23.7,147,9.835,-9999,-9999,-9999,-9999,0
2001020800,62.48,2.235,61,3.333,1.111,50,12.9,21.3,142,10.28,-9999,-9999,-9999,-9999,21
2001020900,62.48,5.812,156,6.667,5.556,40,13.5,20.5,164,9.388,-9999,-9999,-9999,-9999,96
2001021000,62.48,5.364,158,8.333,10,37,14.6,17.6,170,11.62,-9999,-9999,-9999,-9999,262
2001021100,62.48,2.682,158,9.444,13.89,39,13.9,16,153,7.6,-9999,-9999,-9999,-9999,363
2001021200,62.48,3.576,71,10,13.33,42,13.8,13.8,151,7.153,-9999,-9999,-9999,-9999,398
2001021300,62.48,2.235,138,11.67,16.67,38,14.1,12.6,74,8.047,-9999,-9999,-9999,-9999,443
2001021400,62.48,1.788,141,11.67,18.33,36,13.8,11,138,4.47,-9999,-9999,-9999,-9999,435
2001021500,62.48,1.341,120,12.22,15.56,36,13.8,10.5,71,6.259,-9999,-9999,-9999,-9999,335
2001021600,62.48,3.576,62,10,8.889,39,13.3,10.5,62,6.259,-9999,-9999,-9999,-9999,175
2001021700,62.48,3.129,148,8.333,5.556,44,13.1,10.5,83,5.812,-9999,-9999,-9999,-9999,10
2001021800,62.48,4.47,149,7.222,4.444,48,13.1,10.6,153,6.259,-9999,-9999,-9999,-9999,0
2001021900,62.48,4.023,141,7.222,4.444,46,13.1,10.8,156,6.259,-9999,-9999,-9999,-9999,0
2001022000,62.48,4.917,141,8.333,5.556,37,13,10.8,144,7.153,-9999,-9999,-9999,-9999,0
2001022100,62.48,6.259,159,8.333,5.556,37,13,10.7,170,9.388,-9999,-9999,-9999,-9999,0
2001022200,62.48,7.153,161,8.333,6.667,34,13,10.6,170,11.18,-9999,-9999,-9999,-9999,0
2001022300,62.48,4.917,160,8.333,6.111,33,13,10.5,153,10.28,-9999,-9999,-9999,-9999,0
2001030000,62.48,5.812,153,8.333,5.556,29,13,10.4,173,12.52,-9999,-9999,-9999,-9999,0
2001030100,62.48,4.47,146,8.333,5,26,12.9,10.3,167,11.18,-9999,-9999,-9999,-9999,0
2001030200,62.48,4.47,155,8.333,5.556,24,12.9,10.2,156,8.494,-9999,-9999,-9999,-9999,0
2001030300,62.48,6.259,143,8.889,6.111,25,12.9,10.1,133,9.388,-9999,-9999,-9999,-9999,0
2001030400,62.48,6.259,147,10,7.222,20,12.9,10.1,145,10.28,-9999,-9999,-9999,-9999,0
2001030500,62.48,6.259,139,10,7.778,20,12.9,10,138,11.18,-9999,-9999,-9999,-9999,0
2001030600,62.48,5.812,148,10.56,7.778,18,12.8,9.5,138,9.835,-9999,-9999,-9999,-9999,0
2001030700,62.48,4.917,170,10,7.222,19,12.8,9.2,171,9.835,-9999,-9999,-9999,-9999,0
2001030800,62.48,1.341,108,8.333,6.111,24,12.9,8.9,168,9.835,-9999,-9999,-9999,-9999,18
2001030900,62.48,0.8941,159,10.56,11.11,23,13.8,9.2,172,3.576,-9999,-9999,-9999,-9999,129
2001031000,62.48,0.8941,166,11.67,13.89,25,14.2,9.1,140,2.682,-9999,-9999,-9999,-9999,254
2001031100,62.48,1.341,26,12.22,17.78,21,14.5,9,12,2.235,-9999,-9999,-9999,-9999,332
2001031200,62.48,2.235,336,13.89,21.67,22,14,8.9,342,4.023,-9999,-9999,-9999,-9999,499
2001031300,62.48,0.447,39,15.56,22.22,22,14.3,8.9,319,3.576,-9999,-9999,-9999,-9999,471
2001031400,62.48,1.788,340,15,20.56,24,14,8.3,322,2.682,-9999,-9999,-9999,-9999,400
2001031500,62.48,2.235,339,14.44,16.67,26,13.8,8.4,284,4.47,-9999,-9999,-9999,-9999,289
2001031600,62.48,4.917,2,11.11,10,46,13.3,8.1,347,6.706,-9999,-9999,-9999,-9999,164
2001031700,62.48,3.129,342,9.444,6.667,41,13.1,8.2,354,7.153,-9999,-9999,-9999,-9999,11
2001031800,62.48,4.023,2,6.667,4.444,53,13,8.1,2,6.706,-9999,-9999,-9999,-9999,0
2001031900,62.48,2.235,350,7.778,3.889,41,13,8.2,311,4.47,-9999,-9999,-9999,-9999,0
2001032000,62.48,3.129,358,6.667,2.778,40,13,8.5,346,4.47,-9999,-9999,-9999,-9999,0
2001032100,62.48,2.682,353,6.667,2.778,42,13,8.7,331,5.812,-9999,-9999,-9999,-9999,0
2001032200,62.48,3.129,350,6.667,3.333,40,13,9,324,5.364,-9999,-9999,-9999,-9999,0
