<!DOCTYPE html
	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
<html lang="en-US"><head><title>Station Data Listing - Sugarloaf (ENF)  California</title>
<script type="text/javascript">
<!-- Hide script
// End script hiding -->
</script>
</head>
<body>
<BODY BGCOLOR="FFFFFF">
<LEFT>
<H1> Sugarloaf (ENF)  California </H1>
<PRE>
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,cbars,Deg C, W/m2,Deg C,Deg C,  %  ,  %  
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Soil  ,4" Soil, Solar , 24 hr , 24 hr , 24 hr , 24 hr 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,Moistur,Av Temp,  Rad. ,Mx Air ,Mn Air ,Mx Rel ,Mn Rel 
2001010000,276.1,0.8941,312,5.556,0.5556,39,12.9,27.2,291,3.129,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010100,276.1,0.8941,357,6.111,1.111,34,12.9,26.7,318,4.023,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010200,276.1,0.8941,300,4.444,-0.5555,34,12.8,27.3,306,2.235,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010300,276.1,0,87,5.556,1.667,33,12.8,26.4,17,1.788,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010400,276.1,0.447,6,3.889,0,36,12.8,27.3,33,1.788,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010500,276.1,0.8941,19,6.111,1.111,28,12.8,26.7,38,2.682,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010600,276.1,1.788,299,7.222,2.778,30,12.8,25.8,308,3.576,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010700,276.1,0,103,5,1.667,38,12.8,25.7,262,3.576,-9999,-9999,0,-9999,-9999,-9999,-9999
2001010800,276.1,1.341,360,5.556,1.667,37,12.9,25.7,354,2.235,-9999,-9999,22,16.11,3.889,62,20
2001010900,276.1,0,358,9.444,5.556,42,13.4,24.2,347,1.788,-9999,-9999,138,-9999,-9999,-9999,-9999
2001011000,276.1,0.447,301,8.333,6.111,63,13.4,24,185,3.576,-9999,-9999,112,-9999,-9999,-9999,-9999
2001011100,276.1,0.447,113,7.778,6.667,72,13.5,24.2,37,2.682,-9999,-9999,137,-9999,-9999,-9999,-9999
2001011200,276.4,0.447,312,7.222,6.111,88,13.5,25,282,3.129,-9999,-9999,176,-9999,-9999,-9999,-9999
2001011300,276.4,0.447,198,6.667,6.667,87,13.9,26.6,350,3.129,-9999,-9999,173,-9999,-9999,-9999,-9999
2001011400,276.9,0.8941,119,6.111,5.556,96,13.9,26.9,267,6.259,-9999,-9999,96,-9999,-9999,-9999,-9999
2001011500,276.9,0.447,276,5.556,3.889,92,14.1,27,271,3.576,-9999,-9999,100,-9999,-9999,-9999,-9999
2001011600,276.9,0.447,337,4.444,2.222,96,14.1,27.1,216,1.341,-9999,-9999,47,-9999,-9999,-9999,-9999
2001011700,276.9,0.8941,344,2.222,-0.5555,97,13,27.3,335,2.235,-9999,-9999,6,-9999,-9999,-9999,-9999
2001011800,276.9,0.447,326,1.111,-0.5555,96,13,27.3,1,3.129,-9999,-9999,0,-9999,-9999,-9999,-9999
2001011900,276.9,1.341,2,1.111,-1.666,97,12.9,27.4,309,2.235,-9999,-9999,0,-9999,-9999,-9999,-9999
2001012000,276.9,0.447,309,0,-2.221,96,12.9,27.4,305,2.235,-9999,-9999,0,-9999,-9999,-9999,-9999
2001012100,276.9,0.447,359,0,-2.221,98,12.9,27.4,355,1.788,-9999,-9999,0,-9999,-9999,-9999,-9999
2001012200,276.9,1.341,349,0,-2.221,95,12.9,27.4,33,2.682,-9999,-9999,0,-9999,-9999,-9999,-9999
2001012300,276.9,0.8941,4,0,-2.777,95,12.9,27.4,355,2.682,-9999,-9999,0,-9999,-9999,-9999,-9999
2001020000,276.9,1.788,346,0,-2.777,95,12.8,27.4,346,2.682,-9999,-9999,0,-9999,-9999,-9999,-9999
