<!DOCTYPE html
	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
<html lang="en-US"><head><title>Station Data Listing - Owens Camp Loc       California</title>
<script type="text/javascript">
<!-- Hide script
// End script hiding -->
</script>
</head>
<body>
<BODY BGCOLOR="FFFFFF">
<LEFT>
<H1> Owens Camp Loc       California </H1>
<PRE>
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,Deg C,Deg C,  %  ,  %  , W/m2
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,  Fuel ,   Dir ,Mx Gust, 12 hr , 12 hr , 12 hr , 12 hr , Solar 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage,Moistur, MxGust, Speed ,Mx Air ,Mn Air ,Mx Rel ,Mn Rel ,  Rad. 
2001010000,269.2,0.447,95,2.222,0.5556,64,12.8,12.3,178,2.682,-9999,-9999,-9999,-9999,0
2001010100,269.2,0.8941,67,0.5556,-1.11,71,12.8,13,111,3.576,-9999,-9999,-9999,-9999,0
2001010200,269.2,0.447,8,1.667,0,63,12.8,12.9,76,2.235,-9999,-9999,-9999,-9999,0
2001010300,269.2,0.447,31,1.111,0,64,12.8,14.1,74,1.341,-9999,-9999,-9999,-9999,0
2001010400,269.2,0.447,107,2.778,1.667,51,12.8,13.6,99,2.235,-9999,-9999,-9999,-9999,0
2001010500,269.2,0.447,129,2.222,1.111,56,12.8,13.6,98,1.788,-9999,-9999,-9999,-9999,0
2001010600,269.2,0.447,10,2.778,1.667,58,12.8,13.5,191,3.576,-9999,-9999,-9999,-9999,0
2001010700,269.2,0.447,81,2.778,2.222,61,12.8,13.5,178,1.341,-9999,-9999,-9999,-9999,0
2001010800,269.2,0,123,2.778,1.667,61,12.8,13.6,97,1.341,-9999,-9999,-9999,-9999,7
2001010900,269.2,0.447,149,5,4.444,58,13,13.6,126,2.235,-9999,-9999,-9999,-9999,59
2001011000,269.2,0,264,6.667,7.222,62,12.9,13.3,170,1.341,-9999,-9999,-9999,-9999,108
2001011100,269.2,0.447,103,8.333,8.889,55,12.9,12.5,19,1.341,-9999,-9999,-9999,-9999,154
2001011200,269.2,0.447,331,8.333,8.333,68,13.1,12.4,119,1.788,15.56,0.5556,76,14,162
2001011300,269.2,0,111,8.333,9.444,79,13.1,15.3,291,1.788,-9999,-9999,-9999,-9999,163
2001011400,269.2,0.447,32,7.222,7.778,86,12.9,17,291,3.129,-9999,-9999,-9999,-9999,130
2001011500,269.5,0.447,251,7.778,7.778,86,13.1,20.1,112,2.235,-9999,-9999,-9999,-9999,117
2001011600,269.5,0.447,220,6.667,5.556,79,13,19,167,1.788,-9999,-9999,-9999,-9999,92
2001011700,269.5,0.447,67,3.333,2.222,94,12.9,21.1,91,2.235,-9999,-9999,-9999,-9999,14
2001011800,269.5,0.8941,75,1.667,0,97,12.8,22,166,1.788,-9999,-9999,-9999,-9999,0
2001011900,269.5,0.447,86,0.5556,-0.5555,95,12.8,22.3,89,2.235,-9999,-9999,-9999,-9999,0
2001012000,269.5,0.447,58,-0.5555,-1.666,98,12.8,23.1,173,1.341,-9999,-9999,-9999,-9999,0
2001012100,269.5,0.447,85,-1.11,-1.666,98,12.8,23.2,101,1.788,-9999,-9999,-9999,-9999,0
2001012200,269.5,0.447,50,-1.11,-2.221,98,12.7,23.2,117,2.682,-9999,-9999,-9999,-9999,0
2001012300,269.5,0.447,86,-1.666,-2.777,96,12.7,22.8,171,2.682,-9999,-9999,-9999,-9999,0
2001020000,269.5,0.8941,75,-1.666,-2.777,95,12.7,23.3,118,2.235,-9999,-9999,-9999,-9999,0
2001020100,269.5,0,96,-2.221,-3.332,96,12.7,23.4,147,1.788,-9999,-9999,-9999,-9999,0
2001020200,269.5,0,111,-2.221,-3.332,95,12.7,23.5,88,3.576,-9999,-9999,-9999,-9999,0
2001020300,269.5,0,101,-2.221,-3.888,94,12.7,23.3,108,2.235,-9999,-9999,-9999,-9999,0
2001020400,269.5,0,94,-2.221,-3.888,92,12.7,23.5,166,3.129,-9999,-9999,-9999,-9999,0
2001020500,269.5,1.341,134,-2.221,-3.888,84,12.7,23.8,177,4.47,-9999,-9999,-9999,-9999,0
2001020600,269.5,0,144,-2.221,-3.888,80,12.7,23,121,2.682,-9999,-9999,-9999,-9999,0
2001020700,269.5,0.447,355,-2.221,-3.888,82,12.7,23.3,117,2.235,-9999,-9999,-9999,-9999,0
2001020800,269.5,0,322,-1.666,-3.332,77,12.7,23.8,243,1.788,-9999,-9999,-9999,-9999,18
2001020900,269.5,0.447,141,-0.5555,-1.11,81,12.8,23.9,93,1.788,-9999,-9999,-9999,-9999,59
2001021000,269.5,0,252,5,3.889,66,13.8,23.5,93,1.341,-9999,-9999,-9999,-9999,136
2001021100,269.5,0,235,8.889,8.889,56,14.4,21.6,225,1.788,-9999,-9999,-9999,-9999,311
2001021200,269.5,0.447,294,11.67,13.33,40,14.4,18.1,308,2.235,11.67,-2.777,98,37,352
2001021300,269.5,0.8941,354,11.67,14.44,41,14.4,15.2,296,3.576,-9999,-9999,-9999,-9999,346
2001021400,269.5,1.341,304,12.78,16.11,41,14.1,12.1,321,2.235,-9999,-9999,-9999,-9999,384
2001021500,269.5,0.8941,221,12.78,15,44,14.4,11.1,304,3.576,-9999,-9999,-9999,-9999,308
2001021600,269.5,0.447,206,8.889,8.889,54,13.1,10.4,207,1.788,-9999,-9999,-9999,-9999,147
2001021700,269.5,0.447,101,5,2.778,69,13,11.1,101,1.788,-9999,-9999,-9999,-9999,13
2001021800,269.5,0.447,29,2.778,1.111,82,13,12.3,106,1.341,-9999,-9999,-9999,-9999,0
2001021900,269.5,0.447,92,1.667,0,80,13,13.6,331,1.341,-9999,-9999,-9999,-9999,0
2001022000,269.5,0.447,154,1.667,0,71,12.9,14.9,177,3.129,-9999,-9999,-9999,-9999,0
2001022100,269.5,0.447,91,1.667,0,70,12.9,15.5,169,2.235,-9999,-9999,-9999,-9999,0
2001022200,269.5,0.447,208,0.5556,-0.5555,73,12.9,16.2,162,2.682,-9999,-9999,-9999,-9999,0
2001022300,269.5,0.447,22,1.667,-0.5555,63,12.9,16.5,95,2.235,-9999,-9999,-9999,-9999,0
2001030000,269.5,0.8941,354,1.111,-0.5555,60,12.9,16.4,97,2.682,-9999,-9999,-9999,-9999,0
2001030100,269.5,0.447,57,2.778,0,53,12.9,16,101,2.235,-9999,-9999,-9999,-9999,0
2001030200,269.5,0.447,71,2.222,-0.5555,56,12.8,15.6,115,2.235,-9999,-9999,-9999,-9999,0
2001030300,269.5,0.447,91,2.778,0,52,12.9,15.6,97,2.235,-9999,-9999,-9999,-9999,0
2001030400,269.5,0,68,2.778,0,55,12.9,15.2,39,2.682,-9999,-9999,-9999,-9999,0
2001030500,269.5,0.8941,99,3.333,0.5556,55,12.8,15.4,100,2.235,-9999,-9999,-9999,-9999,0
2001030600,269.5,0.447,81,4.444,1.111,46,12.8,15,123,1.788,-9999,-9999,-9999,-9999,0
2001030700,269.5,0.447,119,3.889,0.5556,49,12.8,14.5,101,2.235,-9999,-9999,-9999,-9999,0
2001030800,269.5,0,202,2.222,0,54,12.8,14.5,96,1.341,-9999,-9999,-9999,-9999,10
2001030900,269.5,0,216,4.444,3.333,55,13.2,14.4,123,1.341,-9999,-9999,-9999,-9999,51
2001031000,269.5,0,251,7.222,7.222,54,13.6,14.3,202,0.8941,-9999,-9999,-9999,-9999,129
