<!DOCTYPE html
	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
<html lang="en-US"><head><title>Station Data Listing - Stampede            California</title>
<script type="text/javascript">
<!-- Hide script
// End script hiding -->
</script>
</head>
<body>
<BODY BGCOLOR="FFFFFF">
<LEFT>
<H1> Stampede            California </H1>
<PRE>
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2,Deg C,Deg C,  %  ,  %  
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,  Fuel ,   Dir ,Mx Gust, Solar , 12 hr , 12 hr , 12 hr , 12 hr 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage,Moistur, MxGust, Speed ,  Rad. ,Mx Air ,Mn Air ,Mx Rel ,Mn Rel 
2001010000,0,0.447,296,-1.666,-2.221,85,12.8,15.4,71,1.788,0,-9999,-9999,-9999,-9999
2001010100,0,0.447,24,-1.11,-1.666,82,12.8,16.2,68,2.235,0,-9999,-9999,-9999,-9999
2001010200,0,0.8941,326,-2.221,-2.777,87,12.8,16.5,292,2.235,0,-9999,-9999,-9999,-9999
2001010300,0,0.447,118,-1.11,-1.11,86,12.8,17.1,66,2.235,0,-9999,-9999,-9999,-9999
2001010400,0,0,14,-1.11,-1.11,88,12.7,17.4,325,0.8941,0,-9999,-9999,-9999,-9999
2001010500,0,0.447,297,-1.666,-1.666,90,12.7,18.1,113,3.129,0,-9999,-9999,-9999,-9999
2001010600,0,0.447,359,-1.11,-1.666,86,12.7,18.6,69,2.235,0,-9999,-9999,-9999,-9999
2001010700,0,0.447,93,-0.5555,-1.11,78,12.7,18.6,72,2.235,0,-9999,-9999,-9999,-9999
2001010800,0,0.8941,55,-1.11,-2.221,87,12.7,18.4,280,4.47,1,-9999,-9999,-9999,-9999
2001010900,0,1.341,98,3.333,1.667,77,12.8,18.2,69,6.259,36,-9999,-9999,-9999,-9999
2001011000,0,1.341,217,6.111,5.556,75,13,18.2,300,6.706,78,-9999,-9999,-9999,-9999
2001011100,0,2.235,265,7.222,7.222,75,13.4,17.4,275,6.259,146,-9999,-9999,-9999,-9999
2001011200,0,1.788,258,6.667,7.778,73,13.6,14.9,269,6.706,214,-9999,-9999,-9999,-9999
2001011300,0,1.341,277,6.111,6.667,84,13.7,14.7,250,4.917,180,-9999,-9999,-9999,-9999
2001011400,0.254,1.788,234,8.889,10.56,72,14.6,17.3,253,4.917,359,6.667,5.556,89,73
2001011500,0.254,1.788,228,9.444,12.78,59,13.8,15.4,201,4.917,394,-9999,-9999,-9999,-9999
2001011600,0.254,1.788,237,7.778,9.444,57,14.2,12.8,204,5.812,288,-9999,-9999,-9999,-9999
2001011700,0.254,0.8941,273,5,3.889,62,13.3,12,307,3.576,76,-9999,-9999,-9999,-9999
2001011800,0.254,1.341,103,1.667,-0.5555,78,13,12.8,105,3.129,2,-9999,-9999,-9999,-9999
2001011900,0.254,0.8941,93,0,-1.666,83,13,14.4,167,2.682,0,-9999,-9999,-9999,-9999
2001012000,0.254,1.341,61,-1.11,-2.777,86,12.9,15.9,109,2.682,0,-9999,-9999,-9999,-9999
2001012100,0.254,0.8941,66,-1.666,-3.888,85,12.9,17.3,104,2.235,0,-9999,-9999,-9999,-9999
2001012200,0.254,0.8941,10,-2.221,-4.443,87,12.9,18.1,67,2.682,0,-9999,-9999,-9999,-9999
2001012300,0.254,0.8941,7,-2.777,-4.999,87,12.8,19.5,70,2.682,0,-9999,-9999,-9999,-9999
2001020000,0.254,0.447,6,-3.332,-5.555,91,12.8,20,64,2.682,0,-9999,-9999,-9999,-9999
2001020100,0.254,0,43,-3.888,-6.666,92,12.8,20.4,72,1.788,0,-9999,-9999,-9999,-9999
2001020200,0.254,0.447,3,-4.443,-6.666,92,12.7,21,67,2.235,0,-9999,-9999,-9999,-9999
2001020300,0.254,0.447,71,-4.443,-6.666,86,12.7,21,64,2.235,0,-9999,-9999,-9999,-9999
2001020400,0.254,0,246,-4.443,-6.666,90,12.7,21.8,68,0.8941,0,-9999,-9999,-9999,-9999
2001020500,0.254,0.8941,61,-4.443,-5.555,94,12.7,21.8,69,2.235,0,-9999,-9999,-9999,-9999
2001020600,0.254,0.447,6,-4.443,-5.555,96,12.7,21.9,69,2.235,0,-9999,-9999,-9999,-9999
2001020700,0.254,0.447,52,-4.443,-6.11,88,12.7,21.4,69,1.341,0,-9999,-9999,-9999,-9999
2001020800,0.254,0,43,-4.999,-6.666,89,12.7,22,63,1.788,2,-9999,-9999,-9999,-9999
2001020900,0.254,0,123,-3.332,-3.888,90,12.9,22.4,28,1.788,62,-9999,-9999,-9999,-9999
2001021000,0.254,0.447,314,-0.5555,-1.666,82,13.4,22.7,335,1.788,162,-9999,-9999,-9999,-9999
2001021100,0.254,0,225,2.778,4.444,69,14.9,21.4,269,1.788,233,-9999,-9999,-9999,-9999
2001021200,0.254,0.447,228,6.111,9.444,47,13.9,17.8,198,1.788,426,-9999,-9999,-9999,-9999
2001021300,0.254,0.8941,245,7.222,10.56,41,14.3,14.1,223,2.235,411,-9999,-9999,-9999,-9999
2001021400,0.254,0.8941,161,8.889,12.78,41,13.9,12.1,207,2.682,406,7.778,6.111,44,36
2001021500,0.254,1.341,259,9.444,14.44,43,13.9,10.7,319,2.682,424,-9999,-9999,-9999,-9999
2001021600,0.254,0.8941,339,8.889,13.33,46,13.8,10.2,293,3.576,300,-9999,-9999,-9999,-9999
2001021700,0.254,0,2,7.222,6.111,51,13.3,10.1,325,2.235,120,-9999,-9999,-9999,-9999
2001021800,0.254,1.788,63,1.111,-0.5555,74,13.1,10.4,69,2.235,4,-9999,-9999,-9999,-9999
2001021900,0.254,1.341,58,0,-1.666,79,13,11,64,2.235,0,-9999,-9999,-9999,-9999
2001022000,0.254,1.341,62,-0.5555,-1.666,80,12.9,11.8,68,2.682,0,-9999,-9999,-9999,-9999
2001022100,0.254,0.447,46,-1.11,-2.777,81,12.9,12.6,339,1.788,0,-9999,-9999,-9999,-9999
2001022200,0.254,0.447,49,-1.666,-3.332,84,12.9,13.8,69,1.788,0,-9999,-9999,-9999,-9999
2001022300,0.254,0.447,58,-1.11,-3.332,80,12.9,14.8,74,1.788,0,-9999,-9999,-9999,-9999
2001030000,0.254,0,100,-1.666,-3.888,77,12.8,15.2,65,1.341,0,-9999,-9999,-9999,-9999
2001030100,0.254,0,226,-2.221,-4.443,84,12.8,15.9,35,1.788,0,-9999,-9999,-9999,-9999
2001030200,0.254,0.8941,53,-3.332,-4.999,89,12.8,16.7,65,2.235,0,-9999,-9999,-9999,-9999
2001030300,0.254,0.447,16,-3.332,-5.555,93,12.7,17.8,66,1.788,0,-9999,-9999,-9999,-9999
2001030400,0.254,0,64,-3.332,-6.11,83,12.7,18,66,1.341,0,-9999,-9999,-9999,-9999
2001030500,0.254,0.447,22,-3.332,-5.555,77,12.7,18.9,71,1.788,0,-9999,-9999,-9999,-9999
2001030600,0.254,0,11,-3.888,-6.11,79,12.7,19.1,76,1.788,0,-9999,-9999,-9999,-9999
2001030700,0.254,0,68,-3.888,-6.11,78,12.7,19,47,2.235,0,-9999,-9999,-9999,-9999
2001030800,0.254,0,12,-4.443,-6.666,83,12.7,19.6,67,1.341,1,-9999,-9999,-9999,-9999
2001030900,0.254,0,185,-2.777,-4.443,76,12.9,20.4,70,0.8941,52,-9999,-9999,-9999,-9999
2001031000,0.254,0.447,175,0,-1.11,76,13.4,19.7,178,1.341,178,-9999,-9999,-9999,-9999
2001031100,0.254,0.447,210,3.333,6.667,62,14.3,18.4,186,1.788,239,-9999,-9999,-9999,-9999
2001031200,0.254,0.8941,202,8.333,12.78,46,13.8,14.3,195,1.788,480,-9999,-9999,-9999,-9999
2001031300,0.254,0.447,256,12.22,17.22,32,13.7,11.5,208,1.788,513,-9999,-9999,-9999,-9999
2001031400,0.254,1.341,225,13.33,17.22,28,14,10.4,218,3.129,431,13.33,11.11,37,23
2001031500,0.254,1.788,189,13.89,16.11,23,14.3,9.9,193,4.47,366,-9999,-9999,-9999,-9999
2001031600,0.254,2.235,195,13.33,14.44,22,14.2,8.8,212,4.023,272,-9999,-9999,-9999,-9999
2001031700,0.254,2.235,185,10.56,8.889,28,13.3,8.6,195,4.917,111,-9999,-9999,-9999,-9999
2001031800,0.254,2.682,170,8.333,5.556,34,13,8.5,150,4.917,5,-9999,-9999,-9999,-9999
2001031900,0.254,2.682,161,7.222,5.556,31,13,8.3,158,6.706,0,-9999,-9999,-9999,-9999
2001032000,0.254,2.682,184,6.111,4.444,30,13,8.3,180,8.941,0,-9999,-9999,-9999,-9999
2001032100,0.254,1.341,188,3.889,1.111,38,12.9,8.1,215,5.364,0,-9999,-9999,-9999,-9999
2001032200,0.254,0.8941,138,2.222,-1.11,44,12.9,8.3,158,2.235,0,-9999,-9999,-9999,-9999
2001032300,0.254,2.682,195,4.444,2.222,37,12.9,8.6,192,5.364,0,-9999,-9999,-9999,-9999
2001040000,0.254,3.129,182,4.444,2.222,39,12.8,8.9,195,5.812,0,-9999,-9999,-9999,-9999
2001040100,0.254,4.023,203,4.444,2.778,44,12.8,9.1,207,7.6,0,-9999,-9999,-9999,-9999
2001040200,0.254,4.023,206,3.333,1.667,49,12.8,9.2,225,7.6,0,-9999,-9999,-9999,-9999
2001040300,0.254,4.47,196,3.333,1.667,56,12.8,9.5,197,10.28,0,-9999,-9999,-9999,-9999
2001040400,0.254,4.917,207,2.778,1.667,59,12.7,9.7,190,12.07,0,-9999,-9999,-9999,-9999
2001040500,0.254,6.259,203,2.222,1.667,65,12.7,10.4,213,13.86,0,-9999,-9999,-9999,-9999
2001040600,0.254,5.812,207,2.222,1.111,66,12.7,10.6,174,12.96,0,-9999,-9999,-9999,-9999
2001040700,0.254,6.706,200,1.111,0.5556,74,12.7,10.8,177,12.96,0,-9999,-9999,-9999,-9999
2001040800,0.254,4.47,181,0.5556,-0.5555,73,12.7,11.2,182,11.62,1,-9999,-9999,-9999,-9999
2001040900,0.254,2.235,168,0.5556,0.5556,77,12.8,11.7,182,8.494,26,-9999,-9999,-9999,-9999
2001041000,0.254,4.023,178,1.667,1.111,76,13,12.1,164,8.047,74,-9999,-9999,-9999,-9999
2001041100,0.254,4.917,177,3.889,5,68,14,12.1,174,9.388,194,-9999,-9999,-9999,-9999
2001041200,0.254,4.023,195,6.667,10,60,14.7,11.4,188,8.494,556,-9999,-9999,-9999,-9999
2001041300,0.254,3.129,212,7.222,11.67,53,14.4,10.8,191,7.153,573,-9999,-9999,-9999,-9999
2001041400,0.254,3.576,179,7.778,11.67,41,14.7,10.3,174,6.706,521,8.333,6.667,58,44
2001041500,0.254,2.682,187,8.333,10.56,36,14.3,10,192,5.812,392,-9999,-9999,-9999,-9999
2001041600,0.254,2.235,210,8.889,11.67,39,14.2,9,212,5.364,318,-9999,-9999,-9999,-9999
2001041700,0.254,2.682,196,6.111,5.556,55,13.2,8.6,221,5.364,139,-9999,-9999,-9999,-9999
2001041800,0.254,0.8941,125,2.778,0.5556,73,13,8.8,231,4.47,3,-9999,-9999,-9999,-9999
2001041900,0.254,0.8941,98,0.5556,-1.666,87,13,9.8,143,2.235,0,-9999,-9999,-9999,-9999
2001042000,0.254,1.788,114,0,-2.221,89,12.9,11,118,2.682,0,-9999,-9999,-9999,-9999
2001042100,0.254,0.447,38,-0.5555,-3.332,92,12.9,12.1,108,2.682,0,-9999,-9999,-9999,-9999
2001042200,0.254,1.341,56,-1.666,-3.888,93,12.9,13.6,65,2.682,0,-9999,-9999,-9999,-9999
2001042300,0.254,0.8941,125,0,-2.777,70,12.8,14.5,137,3.576,0,-9999,-9999,-9999,-9999
2001050000,0.254,0.447,79,-0.5555,-2.777,72,12.8,15.5,70,2.235,0,-9999,-9999,-9999,-9999
2001050100,0.254,0.8941,170,1.111,-0.5555,67,12.8,16,138,3.576,0,-9999,-9999,-9999,-9999
2001050200,0.254,1.341,151,0.5556,0,72,12.8,15.9,177,4.917,0,-9999,-9999,-9999,-9999
2001050300,0.254,1.341,136,0.5556,-0.5555,75,12.8,15.8,174,4.023,0,-9999,-9999,-9999,-9999
2001050400,0.254,1.341,188,0,-1.11,74,12.7,16.3,195,3.129,0,-9999,-9999,-9999,-9999
2001050500,0.254,0.447,156,-1.11,-2.777,74,12.7,15.7,164,3.129,0,-9999,-9999,-9999,-9999
2001050600,0.254,0.447,128,-2.221,-3.888,79,12.7,16.7,190,1.788,0,-9999,-9999,-9999,-9999
2001050700,0.254,0.8941,102,-3.888,-5.555,82,12.7,17.4,142,1.788,0,-9999,-9999,-9999,-9999
2001050800,0.254,1.341,108,-3.888,-6.11,82,12.7,18,105,2.682,2,-9999,-9999,-9999,-9999
2001050900,0.254,1.341,143,-2.221,-3.888,79,12.8,19.2,114,3.129,29,-9999,-9999,-9999,-9999
2001051000,0.254,1.788,191,0,-1.11,68,13,18.4,190,4.47,193,-9999,-9999,-9999,-9999
2001051100,0.254,1.788,164,2.778,6.111,51,14,16.1,165,5.364,205,-9999,-9999,-9999,-9999
2001051200,0.254,1.788,225,5,10.56,40,13.9,13.2,215,4.023,553,-9999,-9999,-9999,-9999
2001051300,0.254,2.235,291,5.556,12.78,41,14.4,11.2,295,5.364,607,-9999,-9999,-9999,-9999
2001051400,0.254,1.788,263,5.556,11.11,39,14.5,10.5,227,6.259,576,6.111,5,43,37
2001051500,0.254,1.788,272,5.556,11.67,41,14,9.9,277,5.812,391,-9999,-9999,-9999,-9999
2001051600,0.254,1.341,256,5,9.444,42,14,9.1,241,4.47,342,-9999,-9999,-9999,-9999
2001051700,0.254,0.447,234,3.333,2.778,46,13.3,8.8,222,4.47,138,-9999,-9999,-9999,-9999
2001051800,0.254,1.788,64,-2.221,-3.888,68,13,8.8,69,2.235,7,-9999,-9999,-9999,-9999
2001051900,0.254,0.8941,65,-2.777,-5.555,68,13,9.2,65,2.682,0,-9999,-9999,-9999,-9999
2001052000,0.254,0.447,6,-3.332,-6.11,69,12.9,9.7,67,2.682,0,-9999,-9999,-9999,-9999
2001052100,0.254,0.8941,52,-4.443,-7.221,65,12.9,10.6,74,1.788,0,-9999,-9999,-9999,-9999
2001052200,0.254,0.447,29,-4.999,-7.777,70,12.8,10.9,118,2.235,0,-9999,-9999,-9999,-9999
2001052300,0.254,0.8941,73,-5.555,-7.777,64,12.8,11.4,67,1.788,0,-9999,-9999,-9999,-9999
2001060000,0.254,0,359,-6.11,-8.888,66,12.8,11.7,68,1.788,0,-9999,-9999,-9999,-9999
2001060100,0.254,0.447,43,-6.666,-9.443,75,12.7,12,70,1.788,0,-9999,-9999,-9999,-9999
2001060200,0.254,0.8941,107,-6.666,-9.443,70,12.7,12.6,74,1.788,0,-9999,-9999,-9999,-9999
2001060300,0.254,0,26,-7.221,-9.99,85,12.7,13,192,1.788,0,-9999,-9999,-9999,-9999
2001060400,0.254,0.447,3,-7.777,-9.99,87,12.7,13.5,76,1.341,0,-9999,-9999,-9999,-9999
2001060500,0.254,0,150,-7.777,-10.55,91,12.6,14.1,65,1.341,0,-9999,-9999,-9999,-9999
2001060600,0.254,0,12,-8.332,-10.55,93,12.6,14.6,344,1.341,0,-9999,-9999,-9999,-9999
2001060700,0.254,0,4,-8.332,-10.55,92,12.6,15.3,69,1.341,0,-9999,-9999,-9999,-9999
2001060800,0.254,0,114,-8.332,-10.55,90,12.6,16.1,49,1.341,2,-9999,-9999,-9999,-9999
2001060900,0.254,0,28,-6.666,-8.332,91,12.8,17.1,300,1.341,28,-9999,-9999,-9999,-9999
2001061000,0.254,0.447,206,-3.888,-5.555,78,13,17.7,213,1.341,179,-9999,-9999,-9999,-9999
2001061100,0.254,0.447,253,0.5556,4.444,64,15,17.2,224,1.788,201,-9999,-9999,-9999,-9999
2001061200,0.254,0.8941,261,5,11.11,48,14.3,14.2,202,1.788,542,-9999,-9999,-9999,-9999
2001061300,0.254,0.8941,176,8.889,15,36,14.2,11.2,192,2.682,559,-9999,-9999,-9999,-9999
2001061400,0.254,0.447,311,10.56,17.78,30,14.1,10.3,271,2.235,527,9.444,7.222,43,32
2001061500,0.254,0.8941,203,11.67,17.22,29,14.6,9.7,193,2.682,441,-9999,-9999,-9999,-9999
2001061600,0.254,0.8941,271,11.11,15.56,31,13.9,8.8,236,2.235,309,-9999,-9999,-9999,-9999
2001061700,0.254,0.8941,359,8.889,8.333,37,13.3,8.2,209,1.788,132,-9999,-9999,-9999,-9999
2001061800,0.254,1.788,59,2.222,0,59,13.1,8.2,62,2.235,6,-9999,-9999,-9999,-9999
2001061900,0.254,0.447,80,0,-2.221,73,13,8.4,65,2.682,0,-9999,-9999,-9999,-9999
2001062000,0.254,1.341,69,-1.11,-2.777,75,12.9,8.9,64,2.235,0,-9999,-9999,-9999,-9999
2001062100,0.254,0.8941,68,-1.11,-3.332,75,12.9,9.6,66,2.235,0,-9999,-9999,-9999,-9999
2001062200,0.254,0,52,-2.221,-4.443,77,12.9,10.6,66,1.788,0,-9999,-9999,-9999,-9999
2001062300,0.254,0,40,-2.777,-5.555,81,12.9,11,53,1.341,0,-9999,-9999,-9999,-9999
2001070000,0.254,0,13,-3.332,-6.666,87,12.8,11.5,72,1.341,0,-9999,-9999,-9999,-9999
2001070100,0.254,0.447,52,-3.332,-6.666,84,12.8,12.2,66,1.341,0,-9999,-9999,-9999,-9999
2001070200,0.254,0,90,-3.888,-7.221,88,12.7,13,67,1.341,0,-9999,-9999,-9999,-9999
2001070300,0.254,0,96,-4.443,-7.777,90,12.7,13.7,310,0.8941,0,-9999,-9999,-9999,-9999
2001070400,0.254,0,12,-5.555,-7.777,93,12.7,14.5,352,0.8941,0,-9999,-9999,-9999,-9999
2001070500,0.254,0,12,-5.555,-8.332,97,12.7,15.2,57,0.8941,0,-9999,-9999,-9999,-9999
2001070600,0.254,0,76,-5.555,-8.888,92,12.6,16,64,0.8941,0,-9999,-9999,-9999,-9999
