	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
// End script hiding -->
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2, mm  
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar , Snow  
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. , Depth 
2001010000,86.36,0.447,124,2.778,-2.221,27,13,26.7,319,1.788,0,721.4
2001010100,86.36,2.235,285,3.889,-2.221,21,13,26.7,262,3.576,0,713.7
2001010200,86.36,2.682,264,3.889,-1.666,23,13,26.8,243,5.364,0,716.3
2001010300,86.36,1.788,259,3.889,-1.666,38,12.9,26.8,247,4.023,0,716.3
2001010400,86.36,1.788,216,3.889,-1.666,37,12.9,26.9,217,4.47,0,716.3
2001010500,86.36,1.788,233,3.333,-1.666,39,12.9,26.9,210,4.47,0,718.8
2001010600,86.36,2.235,259,3.889,-1.666,55,12.9,26.9,304,8.941,0,718.8
2001010700,86.36,3.129,272,2.778,-1.666,47,12.9,26.9,259,10.73,0,726.4
2001010800,86.36,4.917,258,2.222,-1.666,58,12.9,27,252,8.494,1,723.9
2001010900,86.36,3.576,262,3.333,-1.666,79,13.1,27,256,8.494,58,729
2001011000,86.87,4.917,261,3.333,-1.11,100,13.5,27.1,263,9.388,93,729
2001011100,87.38,4.917,264,3.333,-1.11,99,14.2,27.2,263,11.18,205,721.4
2001011200,87.88,4.023,271,3.333,-1.11,97,14.2,27.3,258,10.73,183,711.2
2001011300,88.14,4.023,264,2.778,-0.5555,100,14,27.3,253,7.153,169,708.7
2001011400,88.39,3.129,271,2.778,-0.5555,95,14.3,27.3,303,9.388,140,706.1
2001011500,88.65,4.023,275,3.889,-0.5555,72,13.9,27.2,263,10.28,289,698.5
2001011600,88.65,3.576,259,3.333,-0.5555,76,14.1,27.2,262,8.941,249,696
2001011700,88.65,2.682,279,1.111,-0.5555,84,13.9,27.2,316,6.259,81,698.5
2001011800,88.65,3.129,279,0.5556,0,71,13.5,27.2,292,10.28,3,698.5
2001011900,88.65,3.129,307,1.111,-0.5555,51,13.3,27.2,322,8.494,0,698.5
2001012000,88.65,1.788,81,-0.5555,-0.5555,68,13.2,27.2,304,8.047,0,696
2001012100,88.65,0.8941,329,-1.11,-0.5555,55,13.1,27.2,87,2.682,0,696
2001012200,88.65,1.341,71,-2.221,-0.5555,70,13,27.3,10,3.129,0,701
2001012300,88.65,0.8941,56,-1.666,-0.5555,60,13,27.3,34,4.917,0,698.5
2001020000,88.65,0.8941,11,-2.777,-1.11,74,13,27.3,56,4.023,0,698.5
2001020100,88.65,1.341,48,-2.777,-1.11,75,13,27.3,87,4.023,0,696
2001020200,88.65,1.341,63,-3.332,-1.11,75,12.9,27.3,97,3.129,0,698.5
2001020300,88.65,2.235,83,-2.777,-1.11,70,12.9,27.2,84,4.023,0,696
2001020400,88.65,2.235,83,-2.777,-1.666,68,12.9,27.2,86,3.576,0,696
2001020500,88.65,1.341,60,-2.221,-1.666,57,12.9,27.2,94,3.576,0,696
2001020600,88.65,2.235,65,-2.777,-1.666,61,12.8,27.1,73,4.023,0,696
2001020700,88.65,2.682,70,-2.777,-1.666,54,12.8,27,88,4.47,0,696
2001020800,88.65,3.129,53,-2.221,-1.666,51,12.8,26.9,85,6.259,3,696
2001020900,88.65,3.576,82,-1.11,-1.666,49,13.2,26.9,75,5.364,71,696
2001021000,88.65,4.023,64,1.111,-1.666,46,14.4,27,65,6.706,189,693.4
2001021100,88.65,3.576,81,2.778,-1.666,49,14.2,27.1,61,5.812,329,693.4
2001021200,88.65,2.235,86,3.889,-1.11,50,13.9,27.2,71,5.812,376,690.9
2001021300,88.65,1.788,103,5,-1.11,47,14.8,27.3,80,4.023,398,688.3
2001021400,88.65,1.341,146,7.222,-1.11,45,13.8,27.3,68,4.023,431,683.3
