	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
// End script hiding -->
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts, Deg , m/s , W/m2
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,   Dir ,Mx Gust, Solar 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, MxGust, Speed ,  Rad. 
2001010000,0,2.235,134,2.222,-9999,69,13,148,3.576,0
2001010100,0,1.788,215,2.778,-9999,67,13,143,3.576,0
2001010200,0,1.341,146,2.222,-9999,70,13,200,4.023,0
2001010300,0,1.341,136,2.778,-9999,67,13,231,3.129,0
2001010400,0,1.788,143,1.667,-9999,70,13,126,3.129,0
2001010500,0,3.129,112,1.667,-9999,72,12.9,109,4.917,0
2001010600,0,0.8941,201,4.444,-9999,56,12.9,153,4.47,0
2001010700,0,3.129,279,7.778,-9999,56,12.9,260,10.28,0
2001010800,0,7.6,290,8.333,-9999,57,12.9,306,15.65,2
2001010900,0,11.62,282,8.889,-9999,61,14,282,13.86,48
2001011000,0,6.706,304,8.889,-9999,64,13.8,279,14.31,146
2001011100,0,11.62,281,7.778,-9999,82,14.5,278,18.78,176
2001011200,0,11.62,293,8.889,-9999,69,13.8,296,16.54,198
2001011300,0,10.28,285,8.889,-9999,65,13.8,291,15.2,209
2001011400,0,11.62,288,10,-9999,57,14.2,287,17.88,246
2001011500,0,9.388,290,10,-9999,53,14.1,281,15.65,334
2001011600,0,10.28,290,9.444,-9999,49,14.1,286,14.75,227
2001011700,0,7.6,291,7.222,-9999,54,13.5,288,12.52,71
2001011800,0,8.941,285,6.111,-9999,61,13.3,279,12.07,1
2001011900,0,5.364,297,3.889,-9999,69,13.2,289,10.28,0
2001012000,0,5.812,318,3.889,-9999,57,13.2,305,9.835,0
2001012100,0,2.682,102,2.222,-9999,63,13.1,310,8.047,0
2001012200,0,6.259,318,3.333,-9999,62,13.1,310,8.047,0
2001012300,0,2.682,311,2.222,-9999,64,13,322,8.494,0
2001020000,0,3.129,360,1.667,-9999,67,13,1,4.023,0
2001020100,0,4.47,339,1.111,-9999,65,13,332,6.706,0
2001020200,0,1.788,294,0,-9999,72,13,328,6.706,0
2001020300,0,2.235,271,0,-9999,74,12.9,246,3.576,0
2001020400,0,2.682,269,-1.11,-9999,78,12.9,239,5.364,0
2001020500,0,2.682,267,0.5556,-9999,72,12.9,237,5.364,0
2001020600,0,2.235,238,0.5556,-9999,73,12.9,290,4.47,0
2001020700,0,2.682,143,-0.5555,-9999,77,12.9,138,3.576,0
2001020800,0,1.341,230,-1.11,-9999,82,12.9,154,4.47,4
2001020900,0,1.341,121,1.111,-9999,74,14.3,129,4.023,95
2001021000,0,1.788,139,3.333,-9999,66,14.2,114,3.129,171
2001021100,0,1.341,326,5.556,-9999,43,14.1,93,3.129,250
2001021200,0,0.8941,300,7.778,-9999,38,13.9,343,4.47,395
2001021300,0,2.235,305,7.222,-9999,42,13.9,291,6.259,395
2001021400,0,2.235,299,7.778,-9999,41,14.5,270,5.364,357
2001021500,0,2.235,49,8.333,-9999,43,14,31,3.576,342
2001021600,0,3.129,59,7.778,-9999,45,13.8,52,4.917,251
2001021700,0,1.341,48,5.556,-9999,53,13.9,324,4.023,92
2001021800,0,1.341,79,3.889,-9999,61,13.4,41,3.576,2
2001021900,0,2.682,33,3.889,-9999,61,13.3,37,3.576,0
2001022000,0,0.447,245,3.889,-9999,61,13.2,34,3.129,0
2001022100,0,0.8941,287,3.889,-9999,61,13.2,288,1.341,0
2001022200,0,0.8941,259,3.333,-9999,63,13.1,271,1.788,0
2001022300,0,1.788,153,2.778,-9999,66,13.1,141,2.682,0
2001030000,0,1.341,249,2.778,-9999,64,13.1,233,1.788,0
2001030100,0,1.341,161,2.778,-9999,65,13,247,2.235,0
2001030200,0,2.682,120,2.222,-9999,67,13,114,3.576,0
2001030300,0,1.341,245,0.5556,-9999,74,13,241,2.682,0
