	PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN"
	 "http://www.w3.org/TR/html4/loose.dtd">
// End script hiding -->
:       LST, mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
: Date/Time, Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar 
:YYMMDDhhmm,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. 
2001010000,15.75,0.447,103,2.222,-0.5555,52,12.9,13,233,3.129,0
2001010100,15.75,1.341,228,1.111,0.5556,73,12.9,13.3,80,3.576,0
2001010200,15.75,1.341,96,1.111,-0.5555,71,12.9,12.9,259,2.682,0
2001010300,15.75,0,87,1.667,-0.5555,71,12.9,13.5,212,2.235,0
2001010400,15.75,1.341,203,3.889,1.667,41,12.8,13.4,201,2.235,0
2001010500,15.75,1.788,201,3.889,2.222,51,12.8,12.8,201,3.129,0
2001010600,15.75,1.341,81,3.889,2.778,62,12.8,12.3,213,3.576,0
2001010700,15.75,1.788,99,4.444,2.778,59,12.8,12.8,80,3.576,0
2001010800,15.75,0.447,291,5,3.333,69,12.9,13.1,101,4.023,17
2001010900,15.75,3.576,25,6.111,5.556,79,13.2,13.5,11,7.6,67
2001011000,15.75,3.129,59,5.556,5.556,87,13.5,14.2,21,8.494,92
2001011100,15.75,3.576,50,5.556,6.111,82,14,15,21,8.047,119
2001011200,15.75,4.023,44,5.556,6.667,82,13.9,14.9,8,9.835,228
2001011300,15.75,4.47,42,5,5.556,87,14,15.3,33,9.835,169
2001011400,15.75,3.576,25,6.111,7.222,85,14.1,17.8,31,7.153,203
2001011500,15.75,4.47,61,6.111,7.778,66,14.8,16.1,59,8.047,219
2001011600,15.75,3.129,22,4.444,3.889,69,14.3,14.1,24,8.494,163
2001011700,15.75,3.576,16,3.333,1.667,70,13.5,14.4,35,5.812,14
2001011800,15.75,1.341,56,2.778,1.111,69,13.4,14.4,43,6.259,0
2001011900,15.75,2.235,94,2.778,0.5556,64,13.2,14.6,78,5.812,0
2001012000,15.75,1.788,126,1.667,-1.11,62,13.1,14.8,109,4.917,0
2001012100,15.75,1.788,116,1.667,-0.5555,60,13,14.5,65,4.917,0
2001012200,15.75,2.235,210,0,-2.221,67,13,14.4,116,3.129,0
2001012300,15.75,1.341,200,0.5556,-2.221,63,13,14.7,203,3.129,0
2001020100,15.75,1.341,226,0,-2.777,64,12.9,15.4,204,3.129,0
2001020200,15.75,1.788,208,-1.11,-3.332,68,12.9,15.7,170,3.129,0
