nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
83777486,ABMN6,NY,43.1128,-78.4044,FWSBID,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE7ADE96,ACKN6,NY,42.3958,-77.7117,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
DD83440C,ADNN6,NY,42.0722,-77.2992,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
D1157434,AFDN6,NY,42.2533,-77.7911,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
CE437E42,AKLN6,NY,42.3958,-77.7167,CENAB1,HP,PC,,,,,,,,,,,,,,,,,,,,,,
176D41B4,ALAN6,NY,42.1169,-74.3806,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD254294,ALBN6,NY,42.6461,-73.7481,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
171937B2,ALLN6,NY,43.1303,-77.5186,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DE2D714E,ALPN6,NY,42.6194,-73.7589,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
D11966DE,ALYN6,NY,42.6875,-73.8314,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
15E00BF6,AMDN6,NY,42.9339,-74.1917,USGS01,HG,TW,HG,WV,,,,,,,,,,,,,,,,,,,,
3B00B4F4,ANMN6,NY,42.0183,-73.9169,NOAERD,TA,VJ,DJ,VJ,DJ,XR,PA,US,UD,UE,VU,DU,PP,RS,VB,EP,,,,,,,,
3B00A782,ANQN6,NY,42.0269,-73.9258,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,WF,VB,,,,,,,,,,,,,,
6250C076,APBN6,NY,42.7014,-73.9336,NYSFDR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
165615B2,ARLN6,NY,40.7089,-73.3289,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDBF767A,ARTN6,NY,43.9856,-75.925,USGS01,PC,HG,,,,,,,,,,,,,,,,,,,,,,
17858586,ASFN6,NY,44.4375,-73.6811,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16383BD6,ATTN6,NY,42.8647,-78.2833,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1700660C,AUON6,NY,42.9325,-76.5636,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD0F27CE,AUSN6,NY,44.4514,-73.6431,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DE49C5C8,AVCN6,NY,42.3978,-77.4178,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE7EB098,AVNN6,NY,42.9183,-77.7567,CELRB1,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
1715E046,AVON6,NY,42.9183,-77.7567,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF055D9A,AVVN6,NY,42.9183,-77.7567,USGS01,HG,TW,HG,WV,,,,,,,,,,,,,,,,,,,,
DD66D324,BAHN6,NY,42.3433,-77.3442,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD6673DC,BAIN6,NY,42.2914,-75.4767,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
15C8E39E,BARN6,NY,42.3458,-79.5956,NWSERH,TX,DH,US,UD,UP,TA,PA,VB,,,,,,,,,,,,,,,,
17EDB688,BBGN6,NY,40.8622,-73.8744,USGS01,HG,TW,WC,WO,WP,WT,,,,,,,,,,,,,,,,,,
D11E64EA,BCFN6,NY,42.0194,-74.2667,USGS01,HG,WV,,,,,,,,,,,,,,,,,,,,,,
6250161E,BCHN6,NY,41.5,-73.95,NYSFDR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DF09699C,BDKN6,NY,43.3072,-77.7058,USGS01,HP,HP,,,,,,,,,,,,,,,,,,,,,,
DD23A1A8,BDWN6,NY,43.1622,-76.3625,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17EEF28C,BEAN6,NY,42.3381,-74.4519,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16649022,BEPN6,NY,42.1564,-79.3939,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
62505514,BFAN6,NY,44.8183,-74.7633,NYSFDR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
A6941514,BFTN6,NY,42.9411,-78.7192,NWSERH,DJ,DH,US,UD,UP,TA,PA,VB,,,,,,,,,,,,,,,,
17E06386,BIGN6,NY,42.1089,-74.4522,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD10C530,BKAN6,NY,42.1508,-74.6017,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDBC81F0,BKBN6,NY,42.5369,-74.4108,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
176B1106,BKCN6,NY,43.3114,-74.9589,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
17076438,BKGN6,NY,43.2583,-75.6131,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17EFB37C,BKRN6,NY,42.3083,-74.3903,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17A7E47A,BKWN6,NY,41.9656,-74.2933,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16FE1742,BLBN6,NY,43.0922,-77.6806,USGS01,HG,TW,WV,HG,,,,,,,,,,,,,,,,,,,,
DF02D9BA,BLEN6,NY,42.6803,-78.8786,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
6250A590,BLNN6,NY,42.0275,-74.2689,NYSFDR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DDA9B434,BMVN6,NY,42.33,-74.8103,USGS01,HB,HB,,,,,,,,,,,,,,,,,,,,,,
1734F024,BNGN6,NY,42.0925,-75.915,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17947066,BOMN6,NY,44.94,-74.5572,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
177CD1B2,BOON6,NY,43.5117,-75.3069,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17F0B270,BPLN6,NY,41.3381,-73.7686,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17EBC0D6,BRAN6,NY,44.8636,-74.7786,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DF01DEB4,BRCN6,NY,42.9336,-78.905,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
17E1D2F2,BRGN6,NY,41.6381,-74.6172,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
DE49354C,BRIN6,NY,43.3531,-78.1931,USGS01,HG,WV,HG,TW,WO,WT,,,,,,,,,,,,,,,,,,
FA4051A4,BRQN6,NY,41.5089,-74.9861,NPUPDE,TW,WP,WC,WO,WT,HB,VB,,,,,,,,,,,,,,,,,
DD9395FA,BRTN6,NY,42.8,-74.2628,USGS01,HG,HG,TW,WT,,,,,,,,,,,,,,,,,,,,
17AFE0DC,BRYN6,NY,41.5089,-74.9861,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
17857502,BTTN6,NY,43.1086,-73.4225,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD838112,BTVN6,NY,42.9969,-78.1881,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9014E0,BTWN6,NY,43.0297,-78.1706,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
D115E156,BURN6,NY,43.3139,-78.7156,USGS01,HG,TW,WC,WO,WT,VB,,,,,,,,,,,,,,,,,,
17E210E2,BVLN6,NY,41.4753,-74.9128,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
DE4995B4,BYRN6,NY,43.0786,-76.6458,USGS01,HG,HG,WV,,,,,,,,,,,,,,,,,,,,,
DD10002E,CACN6,NY,42.3781,-73.4628,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
16FE31AE,CALN6,NY,42.9789,-77.8914,USGS01,HB,PC,,,,,,,,,,,,,,,,,,,,,,
518E8056,CAYN6,NY,42.9481,-76.7342,CANALS,HP,HT,PP,VB,,,,,,,,,,,,,,,,,,,,
