nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
15C1E5C2,3CLO3,OR,46.2264,-124.013,NWSWRH,US,UD,US,UD,UG,PC,VB,UP,UR,VB,UP,UR,VB,,,,,,,,,,,
3474C55E,ACDO3,OR,42.4111,-122.743,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
1714A1B6,ACLO3,OR,42.8717,-122.168,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
3447F1BA,AGDO3,OR,42.415,-122.772,BURPNW,HP,HG,PC,TW,VB,,,,,,,,,,,,,,,,,,,
326202DC,AGFO3,OR,42.5522,-124.058,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DDF44394,AGNO3,OR,42.5786,-124.057,USGS01,TW,HG,,,,,,,,,,,,,,,,,,,,,,
CE76BAEC,ALBO3,OR,44.6389,-123.106,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
326021C4,ALFO3,OR,43.9247,-119.594,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3443CFC8,ALNO3,OR,45.7336,-119.204,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
348376F0,ALTO3,OR,45.8136,-119.358,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE803E22,APLO3,OR,42.0569,-123.108,CENWP1,HP,,,,,,,,,,,,,,,,,,,,,,,
CE804660,APPO3,OR,42.0639,-123.11,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
CE8048B2,APRO3,OR,42.2414,-123.139,CENWP1,TW,HG,,,,,,,,,,,,,,,,,,,,,,
169BD7AE,AQSO3,OR,45.0314,-122.791,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
32655094,ARFO3,OR,42.105,-122.279,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
348437CE,ARNO3,OR,43.9944,-121.378,BURPNW,HG,TA,VB,,,,,,,,,,,,,,,,,,,,,
CE805516,ARWO3,OR,42.3539,-123.407,CENWP1,TW,HG,,,,,,,,,,,,,,,,,,,,,,
DD5CE19C,ASCO3,OR,42.1489,-122.716,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
32652604,ATFO3,OR,44.0397,-118.416,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DD5480DC,AURO3,OR,45.2333,-122.749,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD422774,AZAO3,OR,42.825,-123.178,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
34801418,BAAO3,OR,42.195,-122.669,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
325282B8,BAFO3,OR,43.5575,-118.407,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
34564750,BALO3,OR,43.1069,-117.06,BURPNW,TA,PC,,,,,,,,,,,,,,,,,,,,,,
16C46822,BBFO3,OR,42.685,-122.39,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
34840254,BCAO3,OR,42.2161,-122.721,BURPNW,HG,TW,,,,,,,,,,,,,,,,,,,,,,
3422B742,BCCO3,OR,42.4094,-122.603,BURPNW,HG,,,,,,,,,,,,,,,,,,,,,,,
325D4134,BCFO3,OR,44.5981,-119.308,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
CE582A08,BCKO3,OR,44.7067,-122.101,CENWP1,HG,TW,WT,,,,,,,,,,,,,,,,,,,,,
CE01D640,BCLO3,OR,44.7511,-122.283,CENWP1,HP,HT,HP,,,,,,,,,,,,,,,,,,,,,
347BF656,BCMO3,OR,42.3319,-122.871,BURPNW,HG,HP,VB,,,,,,,,,,,,,,,,,,,,,
DDC5A4EC,BCQO3,OR,44.9589,-121.393,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
0EE053F8,BCWO3,OR,45.5269,-117.551,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
324B73FE,BDFO3,OR,45.2172,-123.536,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DDD510FC,BDGO3,OR,44.7269,-120.301,USGS01,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
347BE520,BDRO3,OR,42.4472,-122.739,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
DD25F11A,BEAO3,OR,45.2667,-123.846,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
347CC1F8,BENO3,OR,43.9303,-121.411,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
34849736,BERO3,OR,43.9114,-118.157,BURPNW,TA,HP,,,,,,,,,,,,,,,,,,,,,,
3484A2AC,BEUO3,OR,43.9089,-118.152,BURPNW,HG,PC,TA,TW,,,,,,,,,,,,,,,,,,,,
DDC666FC,BFLO3,OR,45.4711,-121.864,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
32605754,BGFO3,OR,44.0339,-120.407,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
6000B1E0,BHRO3,OR,44.6056,-120.683,OREDOF,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
0EE07BC6,BIFO3,OR,44.1683,-124.067,OREERD,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3481469E,BIRO3,OR,45.6514,-118.878,BURPNW,HG,VB,,,,,,,,,,,,,,,,,,,,,,
AA11405A,BKAO3,OR,44.8428,-117.81,NWSWRH,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3245349C,BKFO3,OR,42.6936,-124.039,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
327F70B4,BLKO3,OR,45.5736,-118.239,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,,,,,,,,,,,,,,
CE36910E,BLMO3,OR,45.3322,-119.54,CENWP1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE778D8C,BLUO3,OR,44.1625,-122.332,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
D1061142,BLWO3,OR,44.9608,-122.385,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9B22D2,BLZO3,OR,45.4528,-121.89,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
D113847E,BMFO3,OR,45.4983,-122.011,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
34802182,BMOO3,OR,42.4264,-122.957,BURPNW,HG,TW,VB,,,,,,,,,,,,,,,,,,,,,
3263432C,BNFO3,OR,43.2192,-123.843,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD59A556,BODO3,OR,43.3036,-122.529,USGS01,HG,HG,VB,,,,,,,,,,,,,,,,,,,,,
3236E056,BOFO3,OR,44.7219,-122.003,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
16F197C4,BONO3,OR,45.6331,-121.961,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD268084,BOYO3,OR,42.0847,-122.072,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
3250A1A0,BQFO3,OR,42.2547,-118.968,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE588422,BRBO3,OR,44.7525,-122.129,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DDC5B79A,BRLO3,OR,45.4611,-121.843,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
CE58AC1C,BRTO3,OR,44.2181,-122.264,CENWP1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
324A2178,BRUO3,OR,44.2842,-122.849,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
175FE2C8,BRVO3,OR,45.4828,-122.082,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
0EE0F300,BTCO3,OR,44.9558,-120.136,OREERD,HG,VB,,,,,,,,,,,,,,,,,,,,,,
3234D038,BTFO3,OR,45.6817,-117.206,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
