system:index,elevation,nwsli,.geo
00000000000000000000_0,448.79633,AATC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,1060.1526,ABCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,868.7116,ABMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,1199.4631,ABRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,1460.4979,ACVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,387.99228,ADRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,1348.9397,AESC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,2317.4,AFRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,1240.2922,AFSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,301.57114,AGWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,755.45386,AKEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,326.3201,ALDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,255.81587,ALLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,850.1755,ANEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,561.59875,ANGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,66.229416,ANIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,1525.7527,ANTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,991.08875,APKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,1543.0808,APYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,100.3477,ARGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,1433.8004,ARNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,268.0806,ASRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,1426.6835,ATHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,601.6167,ATLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,813.60144,ATNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1393.6655,ATRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,1531.7324,ATSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,1965.0076,ATWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,1396.3569,BABC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,758.75494,BAJC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,653.78296,BAZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,2437.2424,BBBC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,245.25325,BBEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,24.882517,BBYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
