name,state,elev_ft,lat_ddmmss,lon_ddmmss,id,data,network
Alligator Ridge,Nevada,6560,394413,1153105,,,raws
Antelope Lake,Nevada,5460,414105,1164552,,,raws
Argenta,Nevada,5745,403835,1164154,,,raws
Austin,Nevada,6275,393011,1170453,,,raws
Bailey Ranch,Nevada,5450,402610,1161000,,,raws
Baker Creek,Nevada,7900,385845,1141439,,,raws
Baker Flat,Nevada,6840,390007,1141303,,,raws
Barrel Springs,Nevada,5835,415440,1195620,,,raws
Beacon Light,Nevada,4800,403330,1164530,,,raws
Big Bend,Nevada,1000,350707,1144136,,,raws
Bluewing Mountain,Nevada,4570,403006,1190718,,,raws
Brawley Peaks,Nevada,8080,381540,1185249,,,raws
Buckhorn Ranch,Nevada,7050,381317,1141741,,,raws
Buddy Adams,Nevada,4593,370117,1163633,,,raws
Buffalo Creek,Nevada,2794,403455,1194724,,,raws
Burma Spring,Nevada,4550,411307,1172401,,,raws
Caliente,Nevada,4380,373640,1143135,,,raws
Catnip Mountain,Nevada,5740,415512,1192942,,,raws
Cattle Camp,Nevada,7300,385413,1144851,,,raws
Cedar Pass,Nevada,7185,394525,1140957,,,raws
Cherry Valley,Nevada,7622,393504,1175638,,,raws
Christmas Tree Pass,Nevada,3450,351356,1144636,,,raws
Coils Creek,Nevada,6800,395000,1162930,,,raws
Combs Canyon,Nevada,6590,392253,1161030,,,raws
Coyote Canyon,Nevada,5050,402930,1180640,,,raws
Coyote Wash,Nevada,5720,381700,1144530,,,raws
Crane Springs,Nevada,6400,402735,1155100,,,raws
Currant Creek,Nevada,5580,384531,1152446,,,raws
Dale,Nevada,6420,385438,1143800,,,raws
Dead Camel Mountain,Nevada,4490,391549,1185636,,,raws
Decathon Canyon,Nevada,8465,385827,1141451,,,raws
Desatoya Mountain,Nevada,6200,391804,1173504,,,raws
Desert NWR,Nevada,7120,363445,1150838,,,raws
Desert Springs,Nevada,5280,394021,1194612,ndss,y,raws
Double H,Nevada,6380,413909,1180239,,,raws
Dry Canyon,Nevada,4900,412930,1190700,,,raws
Ely,Nevada,6590,391732,1145010,,,raws
Ely Portable #2 (Cedar Spring),Nevada,7131,392711,1150806,,,raws
Emigrant Canyon,Nevada,6360,404001,1161652,,,raws
Fish Springs,Nevada,5120,385610,1193907,nfis,y,raws
Flat Spring,Nevada,7701,395059,1163329,,,raws
Fox Mountain,Nevada,6890,410022,1193405,,,raws
Galena,Nevada,5000,392254,1194854,ngal,y,raws
Garden Valley,Nevada,5230,381032,1152425,,,raws
Immigration Wash,Nevada,6230,375517,1140935,,,raws
Incline Village (RAWS),Nevada,6828,391504,1195801,,,raws
Independence Valley,Nevada,5720,411924,1160712,,,raws
Jack Wright,Nevada,5760,384607,1192645,,,raws
Jarbidge East Fork - WQ,Nevada,6000,415511,1151950,,,raws
Jarbidge West Fork - WQ,Nevada,6000,415351,1152536,,,raws
Juniper Springs,Nevada,5348,410455,1194638,,,raws
Kane Springs,Nevada,4590,371502,1144227,,,raws
