Id,St,County,Subwatershed,Site Name,Start,End,Lat,Lon,Elev,Element,CDBS id,NWS id
SNOTEL 301,CA,Modoc,Cottonwood Creek,Adin Mtn,Oct-83,Jan-00,41.24,-120.79,6190,Air Temperature,20H13S,ADMC1
SNOTELT 1239,CA,Del Norte,Dunn Creek,Althouse,Jun-13,Jan-00,42,-123.55,4970,Air Temperature,23G16S,ABZO3
SCAN 2214,CA,Lassen,Ash Valley-Ash Creek,Ash Valley,Oct-14,Jan-00,41.05,-120.69,5097,Air Temperature,SC2214,VYAC1
SNOTEL 356,CA,Alpine,Deer Creek,Blue Lakes,Oct-79,Jan-00,38.61,-119.92,8067,Air Temperature,19L05S,BLAC1
SCAN 2215,CA,Mono,Aurora Canyon,Bodie Hills,Oct-14,Jan-00,38.26,-119.13,7825,Air Temperature,SC2215,HBDC1
SNOTEL 1051,CA,Alpine,Hot Springs Creek,Burnside Lake,Sep-03,Jan-00,38.72,-119.89,8129,Air Temperature,19L41S,BSKC1
SNOTEL 1067,CA,Alpine,Caples Creek,Carson Pass,Sep-04,Jan-00,38.69,-120,8360,Air Temperature,19L45S,CXSC1
SNOTEL 391,CA,Modoc,Thoms Creek,Cedar Pass,Oct-78,Jan-00,41.58,-120.3,7030,Air Temperature,20H06S,CDRC1
SCAN 2189,CA,San Luis Obispo,Black Sulphur Spring-Carrizo Plain,Cochora Ranch,Jun-12,Jan-00,35.12,-119.6,2697,Air Temperature,SC2189,CXXC1
SNOTEL 977,CA,Modoc,Mosquito Creek-Willow Creek,Crowder Flat,Oct-99,Jan-00,41.89,-120.75,5170,Air Temperature,20H02S,CRWC1
SNOTEL 428,CA,Nevada,Rattlesnake Creek-South Yuba River,Css Lab,Oct-80,Jan-00,39.33,-120.37,6894,Air Temperature,20K31S,CSSC1
SCAN 2190,CA,Inyo,Ash Meadows,Death Valley Jct,Jun-12,Jan-00,36.33,-116.35,2062,Air Temperature,SC2190,DVJC1
SCAN 2187,CA,Inyo,Lower Wyman Creek,Deep Springs,Nov-11,Jan-00,37.37,-117.97,5399,Air Temperature,SC2187,DPSC1
SCAN 2183,CA,Riverside,181001004703-Pinto Wash,Desert Center,Nov-11,Jan-00,33.8,-115.31,556,Air Temperature,SC2183,ERTC1
SNOTEL 446,CA,Modoc,Dismal Creek-Deep Creek,Dismal Swamp,Oct-79,Jan-00,41.99,-120.18,7360,Air Temperature,20H12S,DMLC1
SCAN 2191,CA,Mono,Convict Creek,Doe Ridge,Jun-12,Jan-00,37.63,-118.83,7340,Air Temperature,SC2191,DOEC1
SCAN 2192,CA,Lassen,Merrill Creek-Frontal Eagle Lake,Eagle Lake,Jun-12,Jan-00,40.62,-120.72,5134,Air Temperature,SC2192,EALC1
SNOTEL 462,CA,Alpine,Silver Creek,Ebbetts Pass,Oct-78,Jan-00,38.55,-119.8,8661,Air Temperature,19L19S,EBTC1
SNOTEL 463,CA,El Dorado,Upper Truckee River-Frontal Lake Tahoe,Echo Peak,Oct-78,Jan-00,38.85,-120.08,7653,Air Temperature,20L06S,ECOC1
SCAN 2185,CA,San Bernardino,Honeymoon Wash-Watson Wash,Essex,Nov-11,Jan-00,34.67,-115.17,2644,Air Temperature,SC2185,EXCC1
SNOTEL 473,CA,El Dorado,Fallen Leaf Lake-Frontal Lake Tahoe,Fallen Leaf,Oct-78,Jan-00,38.93,-120.05,6242,Air Temperature,20L10S,FLFC1
SCAN 2184,CA,Riverside,1.81001E+11,Ford Dry Lake,Nov-11,Jan-00,33.65,-115.1,394,Air Temperature,SC2184,RDLC1
SNOTEL 1049,CA,Alpine,Upper West Fork Carson River,Forestdale Creek,Sep-03,Jan-00,38.68,-119.96,8017,Air Temperature,19L43S,FDCC1
SNOTEL 1277,CA,Lassen,Lower Dry Lake-Frontal Eagle Lake,Fredonyer Peak,Oct-16,Jan-00,40.69,-120.61,7208,Air Temperature,20J01S,FPKC1
SCAN 2218,CA,Shasta,East Fork Clear Creek-Clear Creek,French Gulch,Oct-14,Jan-00,40.79,-122.55,3704,Air Temperature,SC2218,FGLC1
SNOTEL 508,CA,El Dorado,Trout Creek,Hagans Meadow,Oct-78,Jan-00,38.85,-119.94,7742,Air Temperature,19L03S,HGNC1
SNOTEL 518,CA,El Dorado,Trout Creek,Heavenly Valley,Oct-78,Jan-00,38.92,-119.92,8534,Air Temperature,19L24S,HVNC1
SNOTEL 1050,CA,Alpine,Middle West Fork Carson River,Horse Meadow,Sep-03,Jan-00,38.84,-119.89,8557,Air Temperature,19L44S,HORC1
SNOTEL 539,CA,Sierra,Independence Creek,Independence Camp,Oct-78,Jan-00,39.45,-120.29,6980,Air Temperature,20K04S,ICPC1
SNOTEL 540,CA,Sierra,Independence Creek,Independence Creek,Oct-79,Jan-00,39.49,-120.28,6436,Air Temperature,20K03S,ICKC1
SNOTEL 541,CA,Nevada,Sagehen Creek,Independence Lake,Oct-78,Jan-00,39.43,-120.31,8338,Air Temperature,20K05S,ILKC1
SNOTEL 574,CA,Mono,Leavitt Creek-West Walker River,Leavitt Lake,Oct-88,Jan-00,38.28,-119.61,9604,Air Temperature,19L38S,LELC1
SNOTEL 575,CA,Mono,Leavitt Creek-West Walker River,Leavitt Meadows,Oct-79,Jan-00,38.3,-119.55,7198,Air Temperature,19L08S,LVTC1
SNOTEL 587,CA,Mono,Deep Creek,Lobdell Lake,Oct-78,Jan-00,38.44,-119.37,9249,Air Temperature,19L17S,LOBC1
SCAN 2149,CA,Mono,Rock Creek-Spring Canyon Creek,Marble Creek,May-09,Jan-00,37.78,-118.42,6183,Air Temperature,SC2149,MCXC1
SNOTEL 633,CA,Alpine,Leviathan Canyon,Monitor Pass,Oct-89,Jan-00,38.67,-119.61,8306,Air Temperature,19L40S,MNPC1
SCAN 2217,CA,Fresno,Town of Levis,Monocline Ridge,Oct-14,Jan-00,36.54,-120.55,875,Air Temperature,SC2217,RGMC1
SNOTEL 784,CA,Placer,Squaw Creek-Truckee River,Palisades Tahoe,Oct-79,Jan-00,39.19,-120.27,8013,Air Temperature,20K30S,SQWC1
SNOTEL 697,CA,Alpine,Bryant Creek-East Fork Carson River,Poison Flat,Oct-79,Jan-00,38.51,-119.63,7736,Air Temperature,19L06S,XXXC1
SNOTEL 724,CA,El Dorado,General Creek-Frontal Lake Tahoe,Rubicon #2,Oct-79,Jan-00,39,-120.13,7619,Air Temperature,20L02S,RUBC1
SCAN 2186,CA,San Bernardino,Halloran Summit,Shadow Mtns,Nov-11,Jan-00,35.47,-115.72,3643,Air Temperature,SC2186,DWMC1
SNOTEL 771,CA,Mono,Leavitt Creek-West Walker River,Sonora Pass,Oct-78,Jan-00,38.31,-119.6,8770,Air Temperature,19L07S,SRAC1
SNOTEL 778,CA,Alpine,Hot Springs Creek,Spratt Creek,Oct-79,Jan-00,38.67,-119.82,6063,Air Temperature,19L39S,SPCC1
SNOTEL 1258,CA,Modoc,Weed Valley-North Fork Willow Creek,State Line,Jun-14,Jan-00,41.99,-120.72,5680,Air Temperature,20H01S,TATC1
SNOTELT 993,CA,Modoc,Weed Valley-North Fork Willow Creek,State Line AM,Aug-19,Jan-00,41.99,-120.72,5680,Air Temperature,,
SCAN 2219,CA,San Luis Obispo,Padrones Spring-Carrizo Plain,Stubblefield,Oct-14,Jan-00,34.97,-119.48,2995,Air Temperature,SC2219,DLFC1
SNOTEL 1052,CA,Alpine,Mill Creek,Summit Meadow,Sep-03,Jan-00,38.4,-119.54,9313,Air Temperature,19L42S,SDWC1
SNOTEL 809,CA,Placer,Burton Creek-Frontal Lake Tahoe,Tahoe City Cross,Oct-79,Jan-00,39.17,-120.15,6797,Air Temperature,20K27S,THOC1
SNOTEL 834,CA,Placer,Martis Creek,Truckee #2,Oct-79,Jan-00,39.3,-120.18,6509,Air Temperature,20K13S,TRUC1
SNOTEL 846,CA,Mono,Virginia Creek,Virginia Lakes Ridge,Oct-78,Jan-00,38.07,-119.23,9400,Air Temperature,19L13S,VGAC1
SNOTEL 848,CA,Placer,Ward Creek-Frontal Lake Tahoe,Ward Creek #3,Oct-78,Jan-00,39.14,-120.22,6745,Air Temperature,20K25S,WRDC1
SNOTEL 303,CO,Huerfano,Middle Creek-Cucharas River,Apishapa,Oct-79,Jan-00,37.33,-105.07,10027,Air Temperature,05M07S,APSC2
SNOTEL 1030,CO,Grand,Rabbit Ears Creek-Troublesome Creek,Arapaho Ridge,Aug-02,Jan-00,40.35,-106.38,10976,Air Temperature,06J08S,ARPC2
SNOTEL 305,CO,Grand,Upper Fraser River,Arrow,Oct-78,Oct-13,39.92,-105.76,9680,Air Temperature,05K06S,AROC2
SNOTEL 322,CO,Larimer,Glacier Creek,Bear Lake,Oct-79,Jan-00,40.31,-105.65,9522,Air Temperature,05J39S,BLKC2
SNOTEL 1061,CO,Routt,Yamcolo Reservoir-Bear River,Bear River,Oct-04,Jan-00,40.06,-107.01,9112,Air Temperature,07J03S,BRRC2
SNOTEL 327,CO,San Juan,Bear Creek-Rio Grande,Beartown,Oct-79,Jan-00,37.71,-107.51,11600,Air Temperature,07M32S,BRTC2
SNOTEL 1041,CO,Eagle,Beaver Creek-Eagle Creek,Beaver Ck Village,Nov-02,Jan-00,39.6,-106.51,8565,Air Temperature,06K45S,BCVC2
SNOTEL 335,CO,Grand,Upper Fraser River,Berthoud Summit,Oct-78,Jan-00,39.8,-105.78,11314,Air Temperature,05K14S,BTSC2
SNOTEL 345,CO,Garfield,Headwaters Deep Creek,Bison Lake,Oct-85,Jan-00,39.76,-107.36,10964,Air Temperature,07K12S,BLSC2
SNOTEL 1185,CO,Dolores,Fish Creek,Black Mesa,Jul-11,Jan-00,37.79,-108.18,11564,Air Temperature,08M12S,BMSC2
SNOTEL 1161,CO,Larimer,Upper Dale Creek,Black Mountain,Oct-10,Jan-00,40.89,-105.66,8980,Air Temperature,05J28S,BMNC2
SNOTEL 369,CO,Lake,North Fork Lake Creek,Brumley,Oct-79,Jan-00,39.09,-106.54,10594,Air Temperature,06K40S,BRMC2
SNOTEL 938,CO,Park,Headwaters Middle Fork South Platte River,Buckskin Joe,Aug-98,Jan-00,39.3,-106.11,11166,Air Temperature,06K16S,BUCC2
SNOTEL 913,CO,Grand,Red Dirt Creek,Buffalo Park,Sep-95,Jan-00,40.23,-106.6,9249,Air Temperature,06J18S,BUFC2
SNOTEL 378,CO,Rio Blanco,North Elk Creek,Burro Mountain,Oct-78,Jan-00,39.88,-107.6,9317,Air Temperature,07K02S,BURC2
SNOTEL 380,CO,Gunnison,Washington Gulch-Slate River,Butte,Oct-79,Jan-00,38.89,-106.95,10200,Air Temperature,06L11S,BUTC2
SNOTEL 386,CO,San Juan,Headwaters Cascade Creek,Cascade,Oct-78,Jan-00,37.65,-107.81,8880,Air Temperature,07M05S,CSCC2
SNOTEL 387,CO,San Juan,Headwaters Cascade Creek,Cascade #2,Oct-90,Jan-00,37.66,-107.8,9012,Air Temperature,07M35S,CADC2
SNOTEL 1101,CO,Pitkin,Deeds Creek-Fryingpan River,Chapman Tunnel,Sep-07,Jan-00,39.26,-106.63,10100,Air Temperature,06K46S,HAPC2
SNOTEL 1059,CO,Saguache,Luders Creek,Cochetopa Pass,Sep-04,Jan-00,38.16,-106.6,10061,Air Temperature,06L06S,CZSC2
SNOTEL 408,CO,Jackson,Upper Grizzly Creek,Columbine,Oct-78,Jan-00,40.4,-106.6,9167,Air Temperature,06J03S,COLC2
SNOTEL 409,CO,Montrose,Potter Creek,Columbine Pass,Oct-85,Jan-00,38.42,-108.38,9171,Air Temperature,08L02S,CPSC2
SNOTEL 904,CO,La Plata,Headwaters La Plata River,Columbus Basin,Aug-94,Jan-00,37.44,-108.02,10781,Air Temperature,08M10S,CMBC2
SNOTEL 412,CO,Boulder,Headwaters North Saint Vrain Creek,Copeland Lake,Oct-79,Jan-00,40.21,-105.57,8555,Air Temperature,05J18S,COPC2
SNOTEL 415,CO,Summit,West Tenmile Creek,Copper Mountain,Oct-78,Jan-00,39.49,-106.17,10523,Air Temperature,06K24S,CPMC2
SNOTELT 1281,CO,Gunnison,Outlet Willow Creek,Cottonwood Pass,Sep-17,Jan-00,38.83,-106.42,11681,Air Temperature,,
SCAN 2197,CO,Weld,Headwaters Owl Creek,CPER,Sep-13,Jan-00,40.82,-104.71,5330,Air Temperature,SC2197,CPEC2
SNOTEL 426,CO,Rio Blanco,Outlet Hunt Creek,Crosho,Oct-85,Jan-00,40.17,-107.06,8973,Air Temperature,07J04S,CRSC2
SNOTEL 430,CO,Costilla,Headwaters Culebra Creek,Culebra #2,Oct-78,Jan-00,37.21,-105.2,10562,Air Temperature,05M03S,CULC2
SNOTEL 431,CO,Conejos,Wolf Creek,Cumbres Trestle,Oct-79,Jan-00,37.02,-106.45,10035,Air Temperature,06M22S,CUMC2
SNOTEL 438,CO,Larimer,Lower Dale Creek,Deadman Hill,Oct-78,Jan-00,40.81,-105.77,10239,Air Temperature,05J06S,DDMC2
SNOTEL 457,CO,Routt,City of Steamboat Springs-Yampa River,Dry Lake,Oct-79,Jan-00,40.53,-106.78,8271,Air Temperature,06J01S,DRLC2
SNOTEL 936,CO,Clear Creek,Vance Creek,Echo Lake,Aug-98,Jan-00,39.66,-105.59,10694,Air Temperature,05K27S,ECLC2
SNOTEL 465,CO,Dolores,Cayton Valley-Dolores River,El Diente Peak,Oct-85,Jan-00,37.79,-108.02,10217,Air Temperature,08M06S,EDSC2
SNOTEL 467,CO,Routt,Steamboat Lake,Elk River,Oct-78,Jan-00,40.85,-106.97,8739,Air Temperature,06J15S,ELKC2
SNOTEL 1252,CO,Routt,Headwaters Elkhead Creek,Elkhead Divide,Sep-16,Jan-00,40.8,-107.1,8800,Air Temperature,07J06S,EKDC2
SNOTEL 1120,CO,Summit,Deep Creek-Blue River,Elliot Ridge,Aug-09,Jan-00,39.86,-106.42,10549,Air Temperature,06K29S,ELRC2
SNOTEL 1186,CO,Grand,Saint Louis Creek,Fool Creek,Jul-11,Jan-00,39.87,-105.87,11156,Air Temperature,05K30S,FCVC2
SNOTEL 485,CO,Summit,Upper Tenmile Creek,Fremont Pass,Oct-79,Jan-00,39.38,-106.2,11326,Air Temperature,06K08S,FMTC2
SNOTEL 1057,CO,Teller,Headwaters Fountain Creek,Glen Cove,Aug-04,Jan-00,38.88,-105.08,11391,Air Temperature,05L11S,GLNC2
SNOTEL 1058,CO,Rio Grande,East Fork Pinos Creek,Grayback,Sep-04,Jan-00,37.47,-106.54,11626,Air Temperature,06M21S,GYBC2
SNOTEL 505,CO,Summit,North Fork Snake River,Grizzly Peak,Oct-79,Jan-00,39.65,-105.87,11139,Air Temperature,05K09S,GZPC2
SNOTEL 1102,CO,Saguache,Piney Creek-San Luis Creek,Hayden Pass,Aug-07,Jan-00,38.29,-105.85,10699,Air Temperature,05L12S,HPAC2
